id,dbr,isit,find,category,record
tagMIArmor048,item\equipmenthelm\mi_l_tigermanmage.dbr,False,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$",helm,b'records\\item\\equipmenthelm\\mi_l_tigermanmage.dbr'
tagMIWeapon017,item\equipmentweapon\sword\mi_l_tigermanmelee.dbr,False,"Prowler, Elite Prowler, @act03$",sword,b'records\\item\\equipmentweapon\\sword\\mi_l_tigermanmelee.dbr'
tagMIArmor075,item\equipmentarmor\mi_l_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",armor,b'records\\item\\equipmentarmor\\mi_l_tigermanmelee.dbr'
tagMIArmor030,item\equipmentgreaves\mi_l_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_l_tigermanmelee.dbr'
tagMIArmor018,item\equipmentarmband\mi_l_tigermanmelee.dbr,False,"Prowler, Elite Prowler, Archer, Elite Archer, @act03$",armband,b'records\\item\\equipmentarmband\\mi_l_tigermanmelee.dbr'
tagMIWeapon003,item\equipmentshield\mi_l_tropicalarachnos.dbr,False,"Drone, Soldier, Veteran Soldier, Elite Soldier, @act03$",shield,b'records\\item\\equipmentshield\\mi_l_tropicalarachnos.dbr'
tagMIArmor019,item\equipmentarmband\mi_l_tropicalarachnos.dbr,False,"Drone, Soldier, Veteran Soldier, Elite Soldier, Deathspinner; Hero: Prince Ch'kik't, @act03$",armband,b'records\\item\\equipmentarmband\\mi_l_tropicalarachnos.dbr'
tagMIArmor076,item\equipmentarmor\mi_l_tropicalarachnos.dbr,False,"All Arachnos; Hero: Prince Ch'kik't, @act03$",armor,b'records\\item\\equipmentarmor\\mi_l_tropicalarachnos.dbr'
tagMIArmor049,item\equipmenthelm\mi_l_tropicalarachnos.dbr,False,"All Arachnos; Hero: Prince Ch'kik't, @act03$",helm,b'records\\item\\equipmenthelm\\mi_l_tropicalarachnos.dbr'
tagMIArmor020,item\equipmentarmband\mi_l_wraith.dbr,False,"All Drowned Sailors, @act01$",armband,b'records\\item\\equipmentarmband\\mi_l_wraith.dbr'
tagMIArmor077,item\equipmentarmor\mi_l_wraith.dbr,False,"All Drowned Sailors, @act01$",armor,b'records\\item\\equipmentarmor\\mi_l_wraith.dbr'
tagMIArmor031,item\equipmentgreaves\mi_l_wraith.dbr,False,"All Drowned Sailors, @act01$",greaves,b'records\\item\\equipmentgreaves\\mi_l_wraith.dbr'
tagMIArmor078,item\equipmentarmor\mi_l_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",armor,b'records\\item\\equipmentarmor\\mi_l_yerren.dbr'
tagMIArmor032,item\equipmentgreaves\mi_l_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_l_yerren.dbr'
tagMIArmor021,item\equipmentarmband\mi_l_yerren.dbr,False,"Chieftain; Heroes: Mountain Strider, Swiftstream, Wolfbiter, @act03$",armband,b'records\\item\\equipmentarmband\\mi_l_yerren.dbr'
xtagMIArmor001,xpack\item\equipmentarmor\armband\mi_l_anouranmage.dbr,True,"Witch Doctor; Hero: Schlilsh, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_anouranmage.dbr'
xtagMIArmor010,xpack\item\equipmentarmor\greaves\mi_l_anouranmage.dbr,True,"Witch Doctor; Hero: Schlilsh, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_anouranmage.dbr'
xtagMIArmor035,xpack\item\equipmentarmor\torso\mi_l_anouranmage.dbr,True,"Witch Doctor; Heroes: Schlilsh, Wood-Ear, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_anouranmage.dbr'
xtagMIWeapon005,xpack\item\equipmentweapons\bow\mi_l_anouran.dbr,True,"All Hunters, @act04$",bow,b'records\\xpack\\item\\equipmentweapons\\bow\\mi_l_anouran.dbr'
xtagMIArmor002,xpack\item\equipmentarmor\armband\mi_l_anouranmelee.dbr,True,"All Anourans; Hero: Longbellow, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_anouranmelee.dbr'
xtagMIArmor036,xpack\item\equipmentarmor\torso\mi_l_anouranmelee.dbr,True,"All Anourans; Heroes: Longbellow, Gleek, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_anouranmelee.dbr'
xtagMIArmor011,xpack\item\equipmentarmor\greaves\mi_l_anouranmelee.dbr,True,"All Anourans; Hero: Longbellow, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_anouranmelee.dbr'
xtagMIWeapon009,xpack\item\equipmentweapons\spear\mi_l_anouran.dbr,True,"Pygmy, @act04$",spear,b'records\\xpack\\item\\equipmentweapons\\spear\\mi_l_anouran.dbr'
xtagMIWeapon013,xpack\item\equipmentweapons\sword\mi_l_anouran.dbr,True,"Tribesman, Bullfrog; Heroes: Gleek, Longbellow, @act04$",sword,b'records\\xpack\\item\\equipmentweapons\\sword\\mi_l_anouran.dbr'
xtagMIWeapon008,xpack\item\equipmentweapons\club\mi_l_anteok.dbr,True,"Archon; Heroes: Myrto, Elatos, @act04$",club,b'records\\xpack\\item\\equipmentweapons\\club\\mi_l_anteok.dbr'
xtagMIArmor003,xpack\item\equipmentarmor\armband\mi_l_empusamage.dbr,True,"All Empusa, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_empusamage.dbr'
xtagMIWeapon011,xpack\item\equipmentweapons\staff\mi_l_empousa.dbr,True,"All Empusa, @act04$",staff,b'records\\xpack\\item\\equipmentweapons\\staff\\mi_l_empousa.dbr'
xtagMIArmor037,xpack\item\equipmentarmor\torso\mi_l_empusamage.dbr,True,"All Empusa, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_empusamage.dbr'
xtagMIArmor022,xpack\item\equipmentarmor\helm\mi_l_empusamage.dbr,True,"All Empusa, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_empusamage.dbr'
xtagMIArmor012,xpack\item\equipmentarmor\greaves\mi_l_empusamage.dbr,True,"All Empusa, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_empusamage.dbr'
xtagMIArmor024,xpack\item\equipmentarmor\helm\mi_l_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_formicidmage02.dbr'
xtagMIArmor014,xpack\item\equipmentarmor\greaves\mi_l_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_formicidmage02.dbr'
xtagMIArmor039,xpack\item\equipmentarmor\torso\mi_l_formicidmage02.dbr,True,"All Priestesses; Hero: Queen K'kiitr, Styx, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_formicidmage02.dbr'
xtagMIArmor041,xpack\item\equipmentarmor\torso\mi_l_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_formicidmelee02.dbr'
xtagMIArmor016,xpack\item\equipmentarmor\greaves\mi_l_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_formicidmelee02.dbr'
xtagMIArmor026,xpack\item\equipmentarmor\helm\mi_l_formicidmelee02.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_formicidmelee02.dbr'
xtagMIWeapon003,xpack\item\equipmentweapons\axe\mi_l_formicid.dbr,True,"Soldier, Corporal, Captain, Phallanx Commander; Hero: General Ptch'k'k'ath, Styx, @act04$",axe,b'records\\xpack\\item\\equipmentweapons\\axe\\mi_l_formicid.dbr'
xtagMIArmor023,xpack\item\equipmentarmor\helm\mi_l_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_formicidmage01.dbr'
xtagMIArmor013,xpack\item\equipmentarmor\greaves\mi_l_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_formicidmage01.dbr'
xtagMIArmor038,xpack\item\equipmentarmor\torso\mi_l_formicidmage01.dbr,True,"All Priestesses; Hero: Queen Ch'Kra, Ampelian Cave, Medea's Grove, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_formicidmage01.dbr'
xtagMIArmor040,xpack\item\equipmentarmor\torso\mi_l_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_formicidmelee01.dbr'
xtagMIArmor015,xpack\item\equipmentarmor\greaves\mi_l_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_formicidmelee01.dbr'
xtagMIArmor025,xpack\item\equipmentarmor\helm\mi_l_formicidmelee01.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_formicidmelee01.dbr'
xtagMIWeapon001,xpack\item\equipmentweapons\shield\mi_l_formicid.dbr,True,"Drone, Soldier, Corporal, Captain; Hero: General Yrrt'ik, Ampelian Cave, Medea's Grove, @act04$",shield,b'records\\xpack\\item\\equipmentweapons\\shield\\mi_l_formicid.dbr'
xtagMIArmor028,xpack\item\equipmentarmor\helm\mi_l_gigantesmelee02.dbr,True,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_gigantesmelee02.dbr'
xtagUArmor135,xpack\item\equipmentarmor\torso\mi_l_gigantesmelee02.dbr,True,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_gigantesmelee02.dbr'
xtagUArmor136,xpack\item\equipmentarmor\armband\mi_l_gigantesmelee02.dbr,True,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_gigantesmelee02.dbr'
xtagUArmor137,xpack\item\equipmentarmor\greaves\mi_l_gigantesmelee02.dbr,True,"Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_gigantesmelee02.dbr'
xtagMIArmor042,xpack\item\equipmentarmor\torso\mi_l_gigantesmelee.dbr,True,"Armorite, Vanguard, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_gigantesmelee.dbr'
xtagMIArmor004,xpack\item\equipmentarmor\armband\mi_l_gigantesmelee.dbr,True,"Armorite, Vanguard, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_gigantesmelee.dbr'
xtagMIArmor027,xpack\item\equipmentarmor\helm\mi_l_gigantesmelee01.dbr,True,"Armorite, Vanguard, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_gigantesmelee01.dbr'
xtagMIArmor017,xpack\item\equipmentarmor\greaves\mi_l_gigantesmelee.dbr,True,"Armorite, Vanguard, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_gigantesmelee.dbr'
xtagMIWeapon006,xpack\item\equipmentweapons\club\mi_l_gigantes.dbr,True,"Armorite, Dactyl, Vindicator; Heroes: Ephialtes, Polybotes, Warden of Souls, @act04$",club,b'records\\xpack\\item\\equipmentweapons\\club\\mi_l_gigantes.dbr'
xtagMIWeapon002,xpack\item\equipmentweapons\shield\mi_l_gigantes.dbr,True,"Armorite, Dactyl; Hero: Ephialtes, @act04$",shield,b'records\\xpack\\item\\equipmentweapons\\shield\\mi_l_gigantes.dbr'
xtagMIArmor044,xpack\item\equipmentarmor\torso\mi_l_keresmelee.dbr,True,"Flayer; Hero: Anaplekte, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_keresmelee.dbr'
xtagMIArmor030,xpack\item\equipmentarmor\helm\mi_l_keresmelee.dbr,True,"Flayer; Hero: Anaplekte, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_keresmelee.dbr'
xtagMIArmor005,xpack\item\equipmentarmor\armband\mi_l_keresmage.dbr,True,"Witch, Witch Queen; Hero: Akhlys, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_keresmage.dbr'
xtagMIArmor043,xpack\item\equipmentarmor\torso\mi_l_keresmage.dbr,True,"Witch, Witch Queen; Hero: Akhlys, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_keresmage.dbr'
xtagMIWeapon012,xpack\item\equipmentweapons\staff\mi_l_keres.dbr,True,"Witch, Witch Queen, @act04$",staff,b'records\\xpack\\item\\equipmentweapons\\staff\\mi_l_keres.dbr'
xtagMIArmor018,xpack\item\equipmentarmor\greaves\mi_l_keresmage.dbr,True,"Witch, Witch Queen; Hero: Akhlys, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_keresmage.dbr'
xtagMIArmor029,xpack\item\equipmentarmor\helm\mi_l_keresmage.dbr,True,"Witch, Witch Queen; Hero: Akhlys, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_keresmage.dbr'
xtagMIArmor006,xpack\item\equipmentarmor\armband\mi_l_lamiamelee.dbr,True,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_lamiamelee.dbr'
xtagMIArmor045,xpack\item\equipmentarmor\torso\mi_l_lamiamelee.dbr,True,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_lamiamelee.dbr'
xtagMIArmor031,xpack\item\equipmentarmor\helm\mi_l_lamiamelee.dbr,True,"Lancer, Ravager, Dark Ranger, Clan Mistress; Heroes: Damaris, Hilaera, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_lamiamelee.dbr'
xtagMIArmor032,xpack\item\equipmentarmor\helm\mi_l_machaemelee.dbr,True,"All Machae, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_machaemelee.dbr'
xtagMIArmor046,xpack\item\equipmentarmor\torso\mi_l_machaemelee.dbr,True,"All Machae, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_machaemelee.dbr'
xtagMIArmor007,xpack\item\equipmentarmor\armband\mi_l_machaemelee.dbr,True,"All Machae, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_machaemelee.dbr'
xtagMIWeapon004,xpack\item\equipmentweapons\axe\mi_l_machae.dbr,True,"Scout, Guard, @act04$",axe,b'records\\xpack\\item\\equipmentweapons\\axe\\mi_l_machae.dbr'
xtagMIArmor019,xpack\item\equipmentarmor\greaves\mi_l_machaemelee.dbr,True,"All Machae, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_machaemelee.dbr'
xtagMIArmor008,xpack\item\equipmentarmor\armband\mi_l_melinoemage.dbr,True,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_melinoemage.dbr'
xtagMIArmor047,xpack\item\equipmentarmor\torso\mi_l_melinoemage.dbr,True,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",torso,b'records\\xpack\\item\\equipmentarmor\\torso\\mi_l_melinoemage.dbr'
xtagMIArmor020,xpack\item\equipmentarmor\greaves\mi_l_melinoemage.dbr,True,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_melinoemage.dbr'
xtagMIArmor033,xpack\item\equipmentarmor\helm\mi_l_melinoemage.dbr,True,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_melinoemage.dbr'
xtagMIWeapon014,xpack\item\equipmentweapons\sword\mi_l_melinoe.dbr,True,"Blade Maiden, Blade Dancer; Hero: Anysia, @act04$",sword,b'records\\xpack\\item\\equipmentweapons\\sword\\mi_l_melinoe.dbr'
xtagMIWeapon010,xpack\item\equipmentweapons\spear\mi_l_melinoe.dbr,True,"Spear Runner, Elite Spear Runner; Hero: Hekaline, @act04$",spear,b'records\\xpack\\item\\equipmentweapons\\spear\\mi_l_melinoe.dbr'
xtagMIArmor034,xpack\item\equipmentarmor\helm\mi_l_troglodytemelee.dbr,True,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",helm,b'records\\xpack\\item\\equipmentarmor\\helm\\mi_l_troglodytemelee.dbr'
xtagMIWeapon007,xpack\item\equipmentweapons\club\mi_l_troglodyte.dbr,True,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",club,b'records\\xpack\\item\\equipmentweapons\\club\\mi_l_troglodyte.dbr'
xtagMIArmor021,xpack\item\equipmentarmor\greaves\mi_l_troglodytemelee.dbr,True,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",greaves,b'records\\xpack\\item\\equipmentarmor\\greaves\\mi_l_troglodytemelee.dbr'
xtagMIArmor009,xpack\item\equipmentarmor\armband\mi_l_troglodytemelee.dbr,True,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",armband,b'records\\xpack\\item\\equipmentarmor\\armband\\mi_l_troglodytemelee.dbr'
tagRelicName011,item\relics\01_act1_archimedesmirror.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_archimedesmirror.dbr'
tagRelicName003,item\relics\01_act1_artemisbowstring.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_artemisbowstring.dbr'
tagRelicName008,item\relics\01_act1_dionysuswineskin.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_dionysuswineskin.dbr'
tagRelicName007,item\relics\01_act1_goldenfleece.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_goldenfleece.dbr'
tagRelicName006,item\relics\01_act1_hecatescrescent.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_hecatescrescent.dbr'
tagRelicName010,item\relics\01_act1_heraclesmight.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_heraclesmight.dbr'
tagRelicName009,item\relics\01_act1_hermessandal.dbr,False,@level04$: @act01$ (Fanpatch only!),relics,b'records\\item\\relics\\01_act1_hermessandal.dbr'
tagRelicName005,item\relics\01_act1_prometheusflame.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_prometheusflame.dbr'
tagRelicName002,item\relics\01_act1_valorofachilles.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_valorofachilles.dbr'
tagRelicName001,item\relics\01_act1_zeusthunderbolt.dbr,False,@level04$: @act01$,relics,b'records\\item\\relics\\01_act1_zeusthunderbolt.dbr'
tagRelicName037,item\relics\01_act2_amunrasglory.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_amunrasglory.dbr'
tagRelicName036,item\relics\01_act2_ankhofisis.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_ankhofisis.dbr'
tagRelicName035,item\relics\01_act2_anubiswrath.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_anubiswrath.dbr'
tagRelicName038,item\relics\01_act2_djedofosiris.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_djedofosiris.dbr'
tagRelicName034,item\relics\01_act2_setsbetrayal.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_setsbetrayal.dbr'
tagRelicName039,item\relics\01_act2_udjatofhorus.dbr,False,@level04$: @act02$,relics,b'records\\item\\relics\\01_act2_udjatofhorus.dbr'
tagRelicName057,item\relics\01_act3_codeofhammurabi.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_codeofhammurabi.dbr'
tagRelicName058,item\relics\01_act3_dragonkingsdomain.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_dragonkingsdomain.dbr'
tagRelicName053,item\relics\01_act3_guanyusgrace.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_guanyusgrace.dbr'
tagRelicName055,item\relics\01_act3_jadeemperorsserenity.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_jadeemperorsserenity.dbr'
tagRelicName052,item\relics\01_act3_linezhasguile.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_linezhasguile.dbr'
tagRelicName054,item\relics\01_act3_monkeykingstrickery.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_monkeykingstrickery.dbr'
tagRelicName059,item\relics\01_act3_shennongsdarkmedicine.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_shennongsdarkmedicine.dbr'
tagRelicName056,item\relics\01_act3_yenlowangsbloodletting.dbr,False,@level04$: @act03$,relics,b'records\\item\\relics\\01_act3_yenlowangsbloodletting.dbr'
xtagRelicName003,xpack\item\relics\01_act4_bladeofthanatos.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_bladeofthanatos.dbr'
xtagRelicName004,xpack\item\relics\01_act4_chilloftartarus.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_chilloftartarus.dbr'
xtagRelicName002,xpack\item\relics\01_act4_cunningofoddyseus.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_cunningofoddyseus.dbr'
xtagRelicName005,xpack\item\relics\01_act4_ironwillofajax.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_ironwillofajax.dbr'
xtagRelicName001,xpack\item\relics\01_act4_persephonestears.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_persephonestears.dbr'
xtagRelicName006,xpack\item\relics\01_act4_rageofares.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_rageofares.dbr'
xtagRelicName007,xpack\item\relics\01_act4_shadeofhektor.dbr,True,@level04$: @act04$,relics,b'records\\xpack\\item\\relics\\01_act4_shadeofhektor.dbr'
tagRelicName022,item\relics\02_act1_archimedesmirror.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_archimedesmirror.dbr'
tagRelicName014,item\relics\02_act1_artemisbowstring.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_artemisbowstring.dbr'
tagRelicName019,item\relics\02_act1_dionysuswineskin.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_dionysuswineskin.dbr'
tagRelicName018,item\relics\02_act1_goldenfleece.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_goldenfleece.dbr'
tagRelicName017,item\relics\02_act1_hecatescrescent.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_hecatescrescent.dbr'
tagRelicName021,item\relics\02_act1_heraclesmight.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_heraclesmight.dbr'
tagRelicName020,item\relics\02_act1_hermessandal.dbr,False,@level05$: @act01$ (Fanpatch only!),relics,b'records\\item\\relics\\02_act1_hermessandal.dbr'
tagRelicName016,item\relics\02_act1_prometheusflame.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_prometheusflame.dbr'
tagRelicName013,item\relics\02_act1_valorofachilles.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_valorofachilles.dbr'
tagRelicName012,item\relics\02_act1_zeusthunderbolt.dbr,False,@level05$: @act01$,relics,b'records\\item\\relics\\02_act1_zeusthunderbolt.dbr'
tagRelicName043,item\relics\02_act2_amunrasglory.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_amunrasglory.dbr'
tagRelicName042,item\relics\02_act2_ankhofisis.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_ankhofisis.dbr'
tagRelicName041,item\relics\02_act2_anubiswrath.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_anubiswrath.dbr'
tagRelicName044,item\relics\02_act2_djedofosiris.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_djedofosiris.dbr'
tagRelicName040,item\relics\02_act2_setsbetrayal.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_setsbetrayal.dbr'
tagRelicName045,item\relics\02_act2_udjatofhorus.dbr,False,@level05$: @act02$,relics,b'records\\item\\relics\\02_act2_udjatofhorus.dbr'
tagRelicName065,item\relics\02_act3_codeofhammurabi.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_codeofhammurabi.dbr'
tagRelicName066,item\relics\02_act3_dragonkingsdomain.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_dragonkingsdomain.dbr'
tagRelicName061,item\relics\02_act3_guanyusgrace.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_guanyusgrace.dbr'
tagRelicName063,item\relics\02_act3_jadeemperorsserenity.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_jadeemperorsserenity.dbr'
tagRelicName060,item\relics\02_act3_linezhasguile.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_linezhasguile.dbr'
tagRelicName062,item\relics\02_act3_monkeykingstrickery.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_monkeykingstrickery.dbr'
tagRelicName067,item\relics\02_act3_shennongsdarkmedicine.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_shennongsdarkmedicine.dbr'
tagRelicName064,item\relics\02_act3_yenlowangsbloodletting.dbr,False,@level05$: @act03$,relics,b'records\\item\\relics\\02_act3_yenlowangsbloodletting.dbr'
xtagRelicName010,xpack\item\relics\02_act4_bladeofthanatos.dbr,True,@level05$: @act04$,relics,b'records\\xpack\\item\\relics\\02_act4_bladeofthanatos.dbr'
xtagRelicName011,xpack\item\relics\02_act4_chilloftartarus.dbr,True,@level05$: @act04$,relics,b'records\\xpack\\item\\relics\\02_act4_chilloftartarus.dbr'
xtagRelicName009,xpack\item\relics\02_act4_cunningofoddyseus.dbr,True,@level05$: @act04$,relics,b'records\\xpack\\item\\relics\\02_act4_cunningofoddyseus.dbr'
