Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
Shaman's Leggings,MonsterInfrequent Epic,52.0,ArmorProtective_LowerBody,,TQ,mi_e_neanderthalmage.dbr,b'records\\item\\equipmentgreavesmi_e_neanderthalmage.dbr'
Helot's Rage,Epic,12.0,ArmorProtective_Head,,TQ,u_n_helot'srage.dbr,"b""records\\item\\equipmenthelmu_n_helot'srage.dbr"""
Lord Seth's Chaos Blade,Legendary,68.0,WeaponMelee_Sword,,TQ,u_l_lordsethschaosblade.dbr,b'records\\item\\equipmentweapon\\swordu_l_lordsethschaosblade.dbr'
Blacksteel Helmet,MonsterInfrequent Epic,60.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_eldjotun.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_eldjotun.dbr'
Warlord's Helm,MonsterInfrequent Legendary,71.0,ArmorProtective_Head,,TQ,mi_l_tigermanchampion.dbr,b'records\\item\\equipmenthelmmi_l_tigermanchampion.dbr'
Nexus of Insanity,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_nexusofinsanity.dbr,b'records\\xpack\\item\\artifactse_la_nexusofinsanity.dbr'
Vestment of the Overlord,Legendary,68.0,ArmorProtective_UpperBody,,TQ,um_l_vestmentoftheoverlord.dbr,b'records\\item\\equipmentarmorum_l_vestmentoftheoverlord.dbr'
Shade Stalkers,Epic,33.0,ArmorProtective_LowerBody,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesus_n_001.dbr'
Pale Moon,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_palemoon.dbr,b'records\\xpack\\item\\artifactsn_la_palemoon.dbr'
Shroud of Ker,MonsterInfrequent Legendary,69.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_keresmage.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_keresmage.dbr'
Jade Bow,Epic,28.0,WeaponHunting_Bow,Pride of the Jade Palace,TQ,us_n_prideofthejadepalace.dbr,b'records\\item\\equipmentweapon\\bowus_n_prideofthejadepalace.dbr'
Bonebreaker Mail,MonsterInfrequent Legendary,76.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_troll.dbr'
Mechanical Parts,Common,,ItemCharm,,TQ,01_multacts_mechanicalparts.dbr,b'records\\item\\animalrelics01_multacts_mechanicalparts.dbr'
Hephaestus' Molten Shield,Legendary,62.0,WeaponArmor_Shield,Might of Hephaestus,TQ,u_l_hephaestus'moltenshield.dbr,"b""records\\item\\equipmentshieldu_l_hephaestus'moltenshield.dbr"""
Banded Plate of Verei-Te,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_bandedplateofvereite.dbr,b'records\\item\\equipmentarmoru_n_bandedplateofvereite.dbr'
Conqueror's Brain-cage,Legendary,71.0,ArmorProtective_Head,Conqueror's Panoply,TQ,us_l_conqueror'spanoply.dbr,"b""records\\item\\equipmenthelmus_l_conqueror'spanoply.dbr"""
Arcane Formula ~ Apples of Idun,Divine,,ItemArtifactFormula,,TQ Ragnarok,xpack2/l_da_applesofidun_formula.dbr,b'records\\xpack2\\item\\artifacts\\arcaneformulael_da_applesofidun_formula.dbr'
The Night Mistress's Leggings,MonsterInfrequent Legendary,70.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_empusamage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_empusamage.dbr'
Imperial Bracers,Epic,28.0,ArmorProtective_Forearm,Imperial Raiment,TQ,us_n_imperialraiment.dbr,b'records\\item\\equipmentarmbandus_n_imperialraiment.dbr'
Myrmidon's Sting,MonsterInfrequent Legendary,71.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/mi_l_formicid.dbr,b'records\\xpack\\item\\equipmentweapons\\axemi_l_formicid.dbr'
Kael's Visage,Legendary,75.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmu_l_001.dbr'
Ichthian Spine,MonsterInfrequent Legendary,77.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_l_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_l_fjordmelee.dbr'
Porphyrion's Breastplate,MonsterInfrequent Epic,58.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_gigantesmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_gigantesmelee.dbr'
Tongue of Flame,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/l_la_tongueofflame.dbr,b'records\\xpack\\item\\artifactsl_la_tongueofflame.dbr'
Bone Bow,MonsterInfrequent Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/mi_l_draugr.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowmi_l_draugr.dbr'
Proioxis,MonsterInfrequent Legendary,72.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_machaemelee.dbr'
Penumbra Plate,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_penumbraplate.dbr,b'records\\item\\equipmentarmoru_l_penumbraplate.dbr'
Thornwall,Epic,16.0,WeaponArmor_Shield,,TQ,u_n_thornwall.dbr,b'records\\item\\equipmentshieldu_n_thornwall.dbr'
Epic Fury's Heartblood,Common,,ItemCharm,,TQ Immortal Throne,xpack/02_act4_furysheartblood.dbr,b'records\\xpack\\item\\charms02_act4_furysheartblood.dbr'
Orb of the Fallen,Epic,33.0,ArmorJewelry_Amulet,,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\amuletu_n_002.dbr'
Epic Boar Hide,Common,,ItemCharm,,TQ,02_act1_boarshide.dbr,b'records\\item\\animalrelics02_act1_boarshide.dbr'
Gorgon's Edge,Legendary,66.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_l_02.dbr'
Bloodborn Girdle,MonsterInfrequent Epic,58.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_e_melinoemage.dbr'
Bandari's Greaves,MonsterInfrequent Epic,53.0,ArmorProtective_LowerBody,,TQ,mi_e_bandari.dbr,b'records\\item\\equipmentgreavesmi_e_bandari.dbr'
Battlemage Circlet,Legendary,56.0,ArmorProtective_Head,Vestments of the Battlemage,TQ,usm_e_vestmentsofthebattlemage.dbr,b'records\\item\\equipmenthelmusm_e_vestmentsofthebattlemage.dbr'
Faxi Staff,Epic,37.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffu_n_02.dbr'
Chi You's Siphon,Epic,28.0,WeaponMelee_Axe,,TQ,u_n_chiyou'ssiphon.dbr,"b""records\\item\\equipmentweapon\\axeu_n_chiyou'ssiphon.dbr"""
Enforcer's Bracer,MonsterInfrequent Legendary,16.0,ArmorProtective_Forearm,,TQ,mi_l_boarman.dbr,b'records\\item\\equipmentarmbandmi_l_boarman.dbr'
Bloodborn Visor,MonsterInfrequent Epic,58.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_melinoemage.dbr'
Britomaris' Defiance,Epic,38.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_n_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_n_04.dbr'
Stonebinder's Crown,MonsterInfrequent Legendary,64.0,ArmorProtective_Head,,TQ,mi_l_gorgonarcher.dbr,b'records\\item\\equipmenthelmmi_l_gorgonarcher.dbr'
Eye of Reveries,Legendary,69.0,ArmorJewelry_Ring,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\ringu_l_001.dbr'
Black Pearl Ring,Legendary,59.0,ArmorJewelry_Ring,The Cursed Jewels,TQ,u_l_blackpearlring.dbr,b'records\\item\\equipmentringu_l_blackpearlring.dbr'
Dragon's Breath,Legendary,53.0,ArmorProtective_Forearm,,TQ,um_e_dragon'sbreath.dbr,"b""records\\item\\equipmentarmbandum_e_dragon'sbreath.dbr"""
Metal Punch,Epic,8.0,WeaponHunting_Bow,,TQ,u_n_metalpunch.dbr,b'records\\item\\equipmentweapon\\bowu_n_metalpunch.dbr'
Visor of the Shadowlord,Legendary,59.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmu_e_001.dbr'
Nagblade,Epic,33.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\spearu_n_001.dbr'
Ward Stone,Epic,8.0,ArmorJewelry_Ring,,TQ,u_n_wardstone.dbr,b'records\\item\\equipmentringu_n_wardstone.dbr'
Pendant of Immortal Rage,Legendary,60.0,ArmorJewelry_Amulet,,TQ,u_l_pendantofimmortalrage.dbr,b'records\\item\\equipmentamuletu_l_pendantofimmortalrage.dbr'
Deimos,Legendary,62.0,WeaponArmor_Shield,Children of Ares,TQ,us_l_childrenofares.dbr,b'records\\item\\equipmentshieldus_l_childrenofares.dbr'
Scholar's Bangle,Epic,24.0,ArmorProtective_Forearm,,TQ,um_n_scholar'sbangle.dbr,"b""records\\item\\equipmentarmbandum_n_scholar'sbangle.dbr"""
Wall of the Damned,Legendary,75.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldu_l_001.dbr'
Alcyoneus’ Breastplate,MonsterInfrequent Legendary,72.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_gigantesmelee02.dbr'
Fu Xi's Skullplate,Epic,52.0,ArmorProtective_Head,Legend of Fu Xi,TQ,us_e_legendoffuxi.dbr,b'records\\item\\equipmenthelmus_e_legendoffuxi.dbr'
Epic Yeti Fur,Common,,ItemCharm,,TQ,02_act3_yetifur.dbr,b'records\\item\\animalrelics02_act3_yetifur.dbr'
Ordu Thumb Ring,Epic,53.0,ArmorJewelry_Ring,The Ordu,TQ Immortal Throne,xpack/us_e_005.dbr,b'records\\xpack\\item\\equipmentarmor\\ringus_e_005.dbr'
Khthonion Spike,MonsterInfrequent Normal,32.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/mi_n_melinoe.dbr,b'records\\xpack\\item\\equipmentweapons\\spearmi_n_melinoe.dbr'
Overseer's Mantle,MonsterInfrequent Normal,17.0,ArmorProtective_UpperBody,,TQ,mi_n_reptilian.dbr,b'records\\item\\equipmentarmormi_n_reptilian.dbr'
Mantle of Sa'jun,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_mantleofsajun.dbr,b'records\\item\\equipmentarmoru_e_mantleofsajun.dbr'
Tarwater's Kickers,Epic,50.0,ArmorProtective_LowerBody,The Texan,TQ Immortal Throne,xpack/z_cowboy01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesz_cowboy01.dbr'
Smertrios Bracers,Legendary,61.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_e_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_e_01.dbr'
Blacksteel Spike,MonsterInfrequent Epic,60.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_e_eldjotun.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_e_eldjotun.dbr'
Guards of the Deep,MonsterInfrequent Epic,58.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_fjordmage.dbr'
Arcane Formula ~ Book of Dreams,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_ga_bookofdreams_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_ga_bookofdreams_formula.dbr'
Pelt of the Nemean Lion,Legendary,65.0,ArmorProtective_UpperBody,Nemean Lion Hide,TQ,us_l_nemeanlionhide.dbr,b'records\\item\\equipmentarmorus_l_nemeanlionhide.dbr'
Minoxian Armor,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_minoxianarmor.dbr,b'records\\item\\equipmentarmoru_l_minoxianarmor.dbr'
Bloodborn Girdle,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_melinoemage.dbr'
Esus' Travelling Boots,Legendary,77.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_l_01.dbr'
Shield of the Hideous Visage,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_shieldofthehideousvisage.dbr,b'records\\item\\equipmentshieldu_e_shieldofthehideousvisage.dbr'
Amulet of Hygeia,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_amuletofhygeia.dbr,b'records\\item\\equipmentamuletu_e_amuletofhygeia.dbr'
Lar,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_troglodytemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_n_troglodytemelee.dbr'
Embodiment of the Stew of Eldhrimnir,Common,,ItemRelic,,TQ Ragnarok,xpack2/02_act5_stewofeldhrimnir.dbr,b'records\\xpack2\\item\\relics02_act5_stewofeldhrimnir.dbr'
The Ixion Stone,Legendary,56.0,ArmorJewelry_Amulet,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\amuletu_e_002.dbr'
Bear Rider's Bracers,MonsterInfrequent Epic,59.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_yerren.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_yerren.dbr'
Elemental Reaver,Legendary,61.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_e_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_e_03.dbr'
Master Forge Greaves,MonsterInfrequent Epic,59.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_dvergrmelee.dbr'
Mbuti's Advocate,MonsterInfrequent Normal,30.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/mi_n_anouran.dbr,b'records\\xpack\\item\\equipmentweapons\\spearmi_n_anouran.dbr'
Tome of Transfiguration,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_tomeoftransfiguration.dbr,b'records\\xpack\\item\\artifactse_la_tomeoftransfiguration.dbr'
Legguards of the Flameborn,Legendary,75.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesu_l_001.dbr'
Raven's Beak,Epic,37.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_n_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_n_03.dbr'
Cynic's Cover,Epic,12.0,ArmorProtective_Head,,TQ,um_n_cynic'scover.dbr,"b""records\\item\\equipmenthelmum_n_cynic'scover.dbr"""
Hoe of Destruction,Epic,16.0,WeaponHunting_Spear,,TQ,u_n_hoeofdestruction.dbr,b'records\\item\\equipmentweapon\\spearu_n_hoeofdestruction.dbr'
Witch Doctor's Leggings,MonsterInfrequent Legendary,68.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_anouranmage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_anouranmage.dbr'
Einherjar's Stand,MonsterInfrequent Legendary,78.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\shieldmi_l_einherjar.dbr'
Essence of the Light of Belenus,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_lightofbelenus.dbr,b'records\\xpack2\\item\\relics01_act5_lightofbelenus.dbr'
Archmage's Diadem,Legendary,71.0,ArmorProtective_Head,Archmage's Regalia,TQ,usm_l_archmage'sregalia.dbr,"b""records\\item\\equipmenthelmusm_l_archmage'sregalia.dbr"""
Myrmigki Leggings,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_formicidmage01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_formicidmage01.dbr'
Summoner's Rod,Epic,45.0,WeaponMagical_Staff,,TQ,u_e_summoner'srod.dbr,"b""records\\item\\equipmentweapon\\staffu_e_summoner'srod.dbr"""
Silver Charm of Cassandra,Legendary,59.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_e_001.dbr'
Hood of the Chosen,MonsterInfrequent Legendary,76.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_nerthusshaman.dbr'
Jackal's Harness,MonsterInfrequent Legendary,63.0,ArmorProtective_UpperBody,,TQ,mi_l_jackalmanmelee.dbr,b'records\\item\\equipmentarmormi_l_jackalmanmelee.dbr'
Hermes' Winged Helm,Legendary,68.0,ArmorProtective_Head,,TQ,u_l_hermes'wingedhelm.dbr,"b""records\\item\\equipmenthelmu_l_hermes'wingedhelm.dbr"""
Echoe of Tartarus,Epic,58.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_e_08.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_e_08.dbr'
Chthonian Needler,Legendary,75.0,WeaponHunting_Bow,,TQ Immortal Throne,xpack/u_l_002.dbr,b'records\\xpack\\item\\equipmentweapons\\bowu_l_002.dbr'
Spear of Renenutet,Epic,45.0,WeaponHunting_Spear,,TQ,u_e_spearofrenunutet.dbr,b'records\\item\\equipmentweapon\\spearu_e_spearofrenunutet.dbr'
Bloodborn Leggings,MonsterInfrequent Epic,58.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_e_melinoemage.dbr'
Diomedes' Buskin,Epic,56.0,ArmorProtective_LowerBody,Diomedes' Armor,TQ Immortal Throne,xpack/us_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesus_e_002.dbr'
Embodiment of the Domain of the Dragon-Kings,Common,,ItemRelic,,TQ,02_act3_dragonkingsdomain.dbr,b'records\\item\\relics02_act3_dragonkingsdomain.dbr'
Master Forge Helmet,MonsterInfrequent Epic,59.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_dvergrmelee.dbr'
Skeletal Darts,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_skeleton.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_skeleton.dbr'
Anaplekte's Cuirass,MonsterInfrequent Legendary,70.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_keresmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_keresmelee.dbr'
Anaplekte's Skullcap,MonsterInfrequent Legendary,70.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_keresmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_keresmelee.dbr'
Troll's Basher,MonsterInfrequent Legendary,76.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubmi_l_troll.dbr'
Tracker's Hood,Legendary,71.0,ArmorProtective_Head,Tracker's Armor,TQ,us_l_tracker'sarmor.dbr,"b""records\\item\\equipmenthelmus_l_tracker'sarmor.dbr"""
Myrmidon's Skullplate,MonsterInfrequent Epic,57.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_formicidmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_formicidmelee02.dbr'
Overseer's Mantle,MonsterInfrequent Epic,45.0,ArmorProtective_UpperBody,,TQ,mi_e_reptilian.dbr,b'records\\item\\equipmentarmormi_e_reptilian.dbr'
The Godi's Bracers,Epic,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_02.dbr'
Alexander's Pelta,Legendary,59.0,WeaponArmor_Shield,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmentshieldus_l_alexander'spanoply.dbr"""
Ares' War Helm,Legendary,71.0,ArmorProtective_Head,,TQ,u_l_ares'warhelm.dbr,"b""records\\item\\equipmenthelmu_l_ares'warhelm.dbr"""
Raven's Shadow,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_ravensshadow.dbr,b'records\\xpack\\item\\artifactse_la_ravensshadow.dbr'
Shroud of the Night,Epic,20.0,ArmorProtective_Head,Gebel Tjauti,TQ,us_n_gebeltjauti.dbr,b'records\\item\\equipmenthelmus_n_gebeltjauti.dbr'
Buskins of Valhöll,MonsterInfrequent Normal,37.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_n_einherjar.dbr'
Ichthian Aegis,MonsterInfrequent Epic,48.0,ArmorProtective_UpperBody,,TQ,mi_e_ichthianmelee.dbr,b'records\\item\\equipmentarmormi_e_ichthianmelee.dbr'
Hand of Hephaestus,Legendary,68.0,WeaponMelee_Mace,Might of Hephaestus,TQ,u_l_handofhephaestus.dbr,b'records\\item\\equipmentweapon\\clubu_l_handofhephaestus.dbr'
Essence of Set's Betrayal,Common,,ItemRelic,,TQ,01_act2_setsbetrayal.dbr,b'records\\item\\relics01_act2_setsbetrayal.dbr'
Spear of Argo,Epic,24.0,WeaponHunting_Spear,,TQ,u_n_spearofargo.dbr,b'records\\item\\equipmentweapon\\spearu_n_spearofargo.dbr'
Discs of Mani,Legendary,79.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_l_04.dbr'
Battlemage Bracers,Legendary,53.0,ArmorProtective_Forearm,Vestments of the Battlemage,TQ,usm_e_vestmentsofthebattlemage.dbr,b'records\\item\\equipmentarmbandusm_e_vestmentsofthebattlemage.dbr'
Essence of the Valor of Achilles,Common,,ItemRelic,,TQ,01_act1_valorofachilles.dbr,b'records\\item\\relics01_act1_valorofachilles.dbr'
Flakes of Muspelheim,Epic,34.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_13.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_13.dbr'
Figurehead of Naglfar,Legendary,77.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubu_l_02.dbr'
Moonclaw,Epic,8.0,ArmorJewelry_Amulet,,TQ,u_n_moonclaw.dbr,b'records\\item\\equipmentamuletu_n_moonclaw.dbr'
Polaris,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_polaris.dbr,b'records\\item\\equipmentamuletu_e_polaris.dbr'
Einherjar's Fate,MonsterInfrequent Legendary,78.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_l_einherjar.dbr'
Proioxis,MonsterInfrequent Epic,56.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_e_machaemelee.dbr'
Breastplate of the Minotaur,MonsterInfrequent Legendary,62.0,ArmorProtective_UpperBody,,TQ,mi_l_minotaur.dbr,b'records\\item\\equipmentarmormi_l_minotaur.dbr'
Plouton's Bracelet,Legendary,75.0,ArmorProtective_Forearm,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandusm_l_001.dbr'
Epona's Hog Mane,Epic,61.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_07.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_e_07.dbr'
Mentuhotep's Shield,Epic,42.0,WeaponArmor_Shield,,TQ,u_e_mentuhotep'sshield.dbr,"b""records\\item\\equipmentshieldu_e_mentuhotep'sshield.dbr"""
Huo Qubing's Greaves,Legendary,68.0,ArmorProtective_LowerBody,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,"b""records\\item\\equipmentgreavesus_l_huoqubing'srelics.dbr"""
Incarnation of the Code of Hammurabi,Common,,ItemRelic,,TQ,03_act3_codeofhammurabi.dbr,b'records\\item\\relics03_act3_codeofhammurabi.dbr'
Flame Skin,Epic,26.0,ArmorProtective_UpperBody,,TQ,u_n_flameskin.dbr,b'records\\item\\equipmentarmoru_n_flameskin.dbr'
Ritual Cleaver,Legendary,79.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_l_01.dbr'
Djinn's Shackles,MonsterInfrequent Epic,49.0,ArmorProtective_Forearm,,TQ,mi_e_djinn.dbr,b'records\\item\\equipmentarmbandmi_e_djinn.dbr'
Demonic Rippers,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_machae.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_machae.dbr'
Mantis Stride,Epic,26.0,ArmorProtective_LowerBody,Safeguard of the Mantis,TQ,us_n_safeguardofthemantis.dbr,b'records\\item\\equipmentgreavesus_n_safeguardofthemantis.dbr'
Warden's Faith,Epic,39.0,WeaponArmor_Shield,Warden's Charge,TQ,us_e_warden'scharge.dbr,"b""records\\item\\equipmentshieldus_e_warden'scharge.dbr"""
Volatile Shield,Epic,36.0,WeaponArmor_Shield,,TQ,u_e_volatileshield.dbr,b'records\\item\\equipmentshieldu_e_volatileshield.dbr'
Windswept Pack,MonsterInfrequent Epic,44.0,ArmorProtective_UpperBody,,TQ,mi_e_duneraiderb.dbr,b'records\\item\\equipmentarmormi_e_duneraiderb.dbr'
Bormo's Arm Ring,Epic,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_05.dbr'
Helm of the Sphinx,Epic,48.0,ArmorProtective_Head,The Sphinx,TQ,us_e_thesphinx.dbr,b'records\\item\\equipmenthelmus_e_thesphinx.dbr'
Marauder's Helm,MonsterInfrequent Legendary,70.0,ArmorProtective_Head,,TQ,mi_l_neanderthalmelee.dbr,b'records\\item\\equipmenthelmmi_l_neanderthalmelee.dbr'
Einherjar's Line,MonsterInfrequent Normal,37.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_n_einherjar.dbr'
Bai Hu's Mantle,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanmage.dbr,b'records\\item\\equipmentarmormi_l_tigermanmage.dbr'
