Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record,dbr,pack,id
Discs of Mani,Legendary,79.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_04.dbr,records\xpack2\item\equipmentarmor\greaves\u_l_04.dbr,u_l_04.dbr,xpack2,Discs_of_Mani_0
Battlemage Bracers,Legendary,53.0,ArmorProtective_Forearm,Vestments of the Battlemage,TQ,usm_e_vestmentsofthebattlemage.dbr,records\item\equipmentarmband\usm_e_vestmentsofthebattlemage.dbr,usm_e_vestmentsofthebattlemage.dbr,Original,Battlemage_Bracers_0
Essence of the Valor of Achilles,Common,,ItemRelic,,TQ,01_act1_valorofachilles.dbr,records\item\relics\01_act1_valorofachilles.dbr,01_act1_valorofachilles.dbr,Original,Essence_of_the_Valor_of_Achilles_0
Flakes of Muspelheim,Epic,34.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_13.dbr,records\xpack2\item\equipmentweapons\1hranged\u_n_13.dbr,u_n_13.dbr,xpack2,Flakes_of_Muspelheim_0
Figurehead of Naglfar,Legendary,77.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/u_l_02.dbr,records\xpack2\item\equipmentweapons\club\u_l_02.dbr,u_l_02.dbr,xpack2,Figurehead_of_Naglfar_0
Moonclaw,Epic,8.0,ArmorJewelry_Amulet,,TQ,u_n_moonclaw.dbr,records\item\equipmentamulet\u_n_moonclaw.dbr,u_n_moonclaw.dbr,Original,Moonclaw_0
Polaris,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_polaris.dbr,records\item\equipmentamulet\u_e_polaris.dbr,u_e_polaris.dbr,Original,Polaris_0
Einherjar's Fate,MonsterInfrequent Legendary,78.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,records\xpack2\item\equipmentweapons\sword\mi_l_einherjar.dbr,mi_l_einherjar.dbr,xpack2,Einherjars_Fate_0
Proioxis,MonsterInfrequent Epic,56.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_machaemelee.dbr,records\xpack\item\equipmentarmor\greaves\mi_e_machaemelee.dbr,mi_e_machaemelee.dbr,xpack,Proioxis_1
Breastplate of the Minotaur,MonsterInfrequent Legendary,62.0,ArmorProtective_UpperBody,,TQ,mi_l_minotaur.dbr,records\item\equipmentarmor\mi_l_minotaur.dbr,mi_l_minotaur.dbr,Original,Breastplate_of_the_Minotaur_1
Plouton's Bracelet,Legendary,75.0,ArmorProtective_Forearm,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,records\xpack\item\equipmentarmor\armband\usm_l_001.dbr,usm_l_001.dbr,xpack,Ploutons_Bracelet_0
Epona's Hog Mane,Epic,61.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_07.dbr,records\xpack2\item\equipmentarmor\helm\u_e_07.dbr,u_e_07.dbr,xpack2,Eponas_Hog_Mane_0
Mentuhotep's Shield,Epic,42.0,WeaponArmor_Shield,,TQ,u_e_mentuhotep'sshield.dbr,records\item\equipmentshield\u_e_mentuhotep'sshield.dbr,u_e_mentuhotep'sshield.dbr,Original,Mentuhoteps_Shield_0
Huo Qubing's Greaves,Legendary,68.0,ArmorProtective_LowerBody,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,records\item\equipmentgreaves\us_l_huoqubing'srelics.dbr,us_l_huoqubing'srelics.dbr,Original,Huo_Qubings_Greaves_0
Incarnation of the Code of Hammurabi,Common,,ItemRelic,,TQ,03_act3_codeofhammurabi.dbr,records\item\relics\03_act3_codeofhammurabi.dbr,03_act3_codeofhammurabi.dbr,Original,Incarnation_of_the_Code_of_Hammurabi_0
Flame Skin,Epic,26.0,ArmorProtective_UpperBody,,TQ,u_n_flameskin.dbr,records\item\equipmentarmor\u_n_flameskin.dbr,u_n_flameskin.dbr,Original,Flame_Skin_0
Ritual Cleaver,Legendary,79.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_l_01.dbr,records\xpack2\item\equipmentweapons\axe\u_l_01.dbr,u_l_01.dbr,xpack2,Ritual_Cleaver_0
Djinn's Shackles,MonsterInfrequent Epic,49.0,ArmorProtective_Forearm,,TQ,mi_e_djinn.dbr,records\item\equipmentarmband\mi_e_djinn.dbr,mi_e_djinn.dbr,Original,Djinns_Shackles_1
Demonic Rippers,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_machae.dbr,records\xpack2\item\equipmentweapons\1hranged\mi_l_machae.dbr,mi_l_machae.dbr,xpack2,Demonic_Rippers_1
Mantis Stride,Epic,26.0,ArmorProtective_LowerBody,Safeguard of the Mantis,TQ,us_n_safeguardofthemantis.dbr,records\item\equipmentgreaves\us_n_safeguardofthemantis.dbr,us_n_safeguardofthemantis.dbr,Original,Mantis_Stride_0
Warden's Faith,Epic,39.0,WeaponArmor_Shield,Warden's Charge,TQ,us_e_warden'scharge.dbr,records\item\equipmentshield\us_e_warden'scharge.dbr,us_e_warden'scharge.dbr,Original,Wardens_Faith_0
Volatile Shield,Epic,36.0,WeaponArmor_Shield,,TQ,u_e_volatileshield.dbr,records\item\equipmentshield\u_e_volatileshield.dbr,u_e_volatileshield.dbr,Original,Volatile_Shield_0
Windswept Pack,MonsterInfrequent Epic,44.0,ArmorProtective_UpperBody,,TQ,mi_e_duneraiderb.dbr,records\item\equipmentarmor\mi_e_duneraiderb.dbr,mi_e_duneraiderb.dbr,Original,Windswept_Pack_0
Bormo's Arm Ring,Epic,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_n_05.dbr,records\xpack2\item\equipmentarmor\armband\u_n_05.dbr,u_n_05.dbr,xpack2,Bormos_Arm_Ring_0
Helm of the Sphinx,Epic,48.0,ArmorProtective_Head,The Sphinx,TQ,us_e_thesphinx.dbr,records\item\equipmenthelm\us_e_thesphinx.dbr,us_e_thesphinx.dbr,Original,Helm_of_the_Sphinx_0
Marauder's Helm,MonsterInfrequent Legendary,70.0,ArmorProtective_Head,,TQ,mi_l_neanderthalmelee.dbr,records\item\equipmenthelm\mi_l_neanderthalmelee.dbr,mi_l_neanderthalmelee.dbr,Original,Marauders_Helm_1
Einherjar's Line,MonsterInfrequent Normal,37.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,records\xpack2\item\equipmentweapons\spear\mi_n_einherjar.dbr,mi_n_einherjar.dbr,xpack2,Einherjars_Line_1
Bai Hu's Mantle,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanmage.dbr,records\item\equipmentarmor\mi_l_tigermanmage.dbr,mi_l_tigermanmage.dbr,Original,Bai_Hus_Mantle_1
Stag Helm of Cernunnos,Legendary,77.0,ArmorProtective_Head,Guise of the Horned God,TQ Ragnarok,xpack2/us_l_hornedgod.dbr,records\xpack2\item\equipmentarmor\helm\us_l_hornedgod.dbr,us_l_hornedgod.dbr,xpack2,Stag_Helm_of_Cernunnos_0
Incarnation of the Power of Nerthus,Common,,ItemRelic,,TQ Ragnarok,xpack2/03_act5_nerthusmistletoe.dbr,records\xpack2\item\relics\03_act5_nerthusmistletoe.dbr,03_act5_nerthusmistletoe.dbr,xpack2,Incarnation_of_the_Power_of_Nerthus_0
Geras' Walking Stick,Legendary,53.0,WeaponMagical_Staff,,TQ,u_e_geras'walkingstick.dbr,records\item\equipmentweapon\staff\u_e_geras'walkingstick.dbr,u_e_geras'walkingstick.dbr,Original,Geras_Walking_Stick_0
Gauntlets of the Restless King,MonsterInfrequent Legendary,77.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_draugr.dbr,records\xpack2\item\equipmentarmor\armband\mi_l_draugr.dbr,mi_l_draugr.dbr,xpack2,Gauntlets_of_the_Restless_King_1
Crystalline Helm,Legendary,56.0,ArmorProtective_Head,Crystalline Array,TQ,us_e_crystallinearray.dbr,records\item\equipmenthelm\us_e_crystallinearray.dbr,us_e_crystallinearray.dbr,Original,Crystalline_Helm_0
Ethereal Clasp,MonsterInfrequent Epic,39.0,ArmorProtective_Forearm,,TQ,mi_e_wraith.dbr,records\item\equipmentarmband\mi_e_wraith.dbr,mi_e_wraith.dbr,Original,Ethereal_Clasp_1
Phoenix,Legendary,65.0,WeaponMelee_Axe,,TQ,u_l_phoenix.dbr,records\item\equipmentweapon\axe\u_l_phoenix.dbr,u_l_phoenix.dbr,Original,Phoenix_0
Jaguar Claws,MonsterInfrequent Epic,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_e_maenad.dbr,records\xpack2\item\equipmentweapons\1hranged\mi_e_maenad.dbr,mi_e_maenad.dbr,xpack2,Jaguar_Claws_0
Armguards of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,records\xpack2\item\equipmentarmor\armband\mi_l_einherjar.dbr,mi_l_einherjar.dbr,xpack2,Armguards_of_Valhöll_0
Serenity,Epic,46.0,ArmorJewelry_Amulet,,TQ,u_e_serenity.dbr,records\item\equipmentamulet\u_e_serenity.dbr,u_e_serenity.dbr,Original,Serenity_0
Chang-Kuo Lau's Steel Blur,Epic,49.0,WeaponMelee_Sword,,TQ,u_e_changkuolau'ssteelblur.dbr,records\item\equipmentweapon\sword\u_e_changkuolau'ssteelblur.dbr,u_e_changkuolau'ssteelblur.dbr,Original,Chang_Kuo_Laus_Steel_Blur_0
Helm of Valhöll,MonsterInfrequent Normal,37.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,records\xpack2\item\equipmentarmor\helm\mi_n_einherjar.dbr,mi_n_einherjar.dbr,xpack2,Helm_of_Valhöll_1
Giant's Tooth,Legendary,79.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/u_l_01.dbr,records\xpack2\item\equipmentweapons\club\u_l_01.dbr,u_l_01.dbr,xpack2,Giants_Tooth_0
Prowler's Cuffs,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_tigermanmelee.dbr,records\item\equipmentarmband\mi_l_tigermanmelee.dbr,mi_l_tigermanmelee.dbr,Original,Prowlers_Cuffs_0
Soul Prism,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_ga_soulprism.dbr,records\xpack\item\artifacts\n_ga_soulprism.dbr,n_ga_soulprism.dbr,xpack,Soul_Prism_0
Essence of the Aegis of Athena,Common,,ItemRelic,,TQ,01_act1_aegisofathena.dbr,records\item\relics\01_act1_aegisofathena.dbr,01_act1_aegisofathena.dbr,Original,Essence_of_the_Aegis_of_Athena_0
Outrider's Buckler,MonsterInfrequent Normal,4.0,WeaponArmor_Shield,,TQ,mi_n_centaur.dbr,records\item\equipmentshield\mi_n_centaur.dbr,mi_n_centaur.dbr,Original,Outriders_Buckler_1
Barbarian's Spiked Greaves,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_e_001.dbr,records\xpack\item\equipmentarmor\greaves\u_e_001.dbr,u_e_001.dbr,xpack,Barbarians_Spiked_Greaves_0
Kydoimos,Legendary,68.0,WeaponMelee_Sword,Children of Ares,TQ,us_l_childrenofares.dbr,records\item\equipmentweapon\sword\us_l_childrenofares.dbr,us_l_childrenofares.dbr,Original,Kydoimos_0
Arcane Formula ~ Emerald Quill,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_la_emeraldquill_formula.dbr,records\xpack\item\artifacts\arcaneformulae\e_la_emeraldquill_formula.dbr,e_la_emeraldquill_formula.dbr,xpack,Arcane_Formula_~_Emerald_Quill_0
Porphyrion's Helm,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_gigantesmelee01.dbr,records\xpack\item\equipmentarmor\helm\mi_n_gigantesmelee01.dbr,mi_n_gigantesmelee01.dbr,xpack,Porphyrions_Helm_1
Memnon's Signet,Epic,36.0,ArmorJewelry_Ring,Memnon's Raiment,TQ,us_e_memnon'sraiment.dbr,records\item\equipmentring\us_e_memnon'sraiment.dbr,us_e_memnon'sraiment.dbr,Original,Memnons_Signet_0
Porphyrion's Legplates,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee.dbr,records\xpack\item\equipmentarmor\greaves\mi_n_gigantesmelee.dbr,mi_n_gigantesmelee.dbr,xpack,Porphyrions_Legplates_1
Fire Spike,Epic,8.0,WeaponHunting_Spear,,TQ,u_n_firespike.dbr,records\item\equipmentweapon\spear\u_n_firespike.dbr,u_n_firespike.dbr,Original,Fire_Spike_0
Crescent Moon of Artemis,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_da_crescentmoonofartemis.dbr,records\xpack\item\artifacts\e_da_crescentmoonofartemis.dbr,e_da_crescentmoonofartemis.dbr,xpack,Crescent_Moon_of_Artemis_0
Cuirass of Viridomarus,Epic,63.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_e_05.dbr,records\xpack2\item\equipmentarmor\torso\u_e_05.dbr,u_e_05.dbr,xpack2,Cuirass_of_Viridomarus_0
Age Axe,Epic,39.0,WeaponMelee_Axe,,TQ,u_e_ageaxe.dbr,records\item\equipmentweapon\axe\u_e_ageaxe.dbr,u_e_ageaxe.dbr,Original,Age_Axe_0
Bonehack,Epic,33.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_n_001.dbr,records\xpack\item\equipmentweapons\axe\u_n_001.dbr,u_n_001.dbr,xpack,Bonehack_0
Shield of the Korybantes,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_shieldofthekorybantes.dbr,records\item\equipmentshield\u_e_shieldofthekorybantes.dbr,u_e_shieldofthekorybantes.dbr,Original,Shield_of_the_Korybantes_0
Glacial Maul,Legendary,65.0,WeaponMelee_Mace,,TQ,u_l_glacialmaul.dbr,records\item\equipmentweapon\club\u_l_glacialmaul.dbr,u_l_glacialmaul.dbr,Original,Glacial_Maul_0
Crown of the Liche King,MonsterInfrequent Epic,54.0,ArmorProtective_Head,,TQ,mi_e_liche.dbr,records\item\equipmenthelm\mi_e_liche.dbr,mi_e_liche.dbr,Original,Crown_of_the_Liche_King_1
Warlord's Coat,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanchampion.dbr,records\item\equipmentarmor\mi_l_tigermanchampion.dbr,mi_l_tigermanchampion.dbr,Original,Warlords_Coat_1
Pharaoh's Standard,Epic,16.0,WeaponMagical_Staff,,TQ,u_n_pharaoh'sstandard.dbr,records\item\equipmentweapon\staff\u_n_pharaoh'sstandard.dbr,u_n_pharaoh'sstandard.dbr,Original,Pharaohs_Standard_0
Smith's Hammer,Epic,8.0,WeaponMelee_Mace,,TQ,u_n_smith'shammer.dbr,records\item\equipmentweapon\club\u_n_smith'shammer.dbr,u_n_smith'shammer.dbr,Original,Smiths_Hammer_0
Djinn's Shackles,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_djinn.dbr,records\item\equipmentarmband\mi_l_djinn.dbr,mi_l_djinn.dbr,Original,Djinns_Shackles_2
Creeping Death,Epic,28.0,WeaponMelee_Axe,,TQ,u_n_creepingdeath.dbr,records\item\equipmentweapon\axe\u_n_creepingdeath.dbr,u_n_creepingdeath.dbr,Original,Creeping_Death_0
Legendary Bat Fang,Common,,ItemCharm,,TQ,03_act1_batfang.dbr,records\item\animalrelics\03_act1_batfang.dbr,03_act1_batfang.dbr,Original,Legendary_Bat_Fang_0
Head Hunter's Axe,MonsterInfrequent Normal,24.0,WeaponMelee_Axe,,TQ,mi_n_dragonian.dbr,records\item\equipmentweapon\axe\mi_n_dragonian.dbr,mi_n_dragonian.dbr,Original,Head_Hunters_Axe_0
Troll's Cutter,MonsterInfrequent Legendary,76.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_troll.dbr,records\xpack2\item\equipmentweapons\sword\mi_l_troll.dbr,mi_l_troll.dbr,xpack2,Trolls_Cutter_0
Dvergr Runestones,MonsterInfrequent Normal,37.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_n_dvergr.dbr,records\xpack2\item\equipmentweapons\1hranged\mi_n_dvergr.dbr,mi_n_dvergr.dbr,xpack2,Dvergr_Runestones_0
Ichthian Stinger,MonsterInfrequent Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/mi_l_fjordmelee.dbr,records\xpack2\item\equipmentweapons\bow\mi_l_fjordmelee.dbr,mi_l_fjordmelee.dbr,xpack2,Ichthian_Stinger_0
Kraken's Fist,Legendary,68.0,WeaponMelee_Mace,,TQ,u_l_krakensfist.dbr,records\item\equipmentweapon\club\u_l_krakensfist.dbr,u_l_krakensfist.dbr,Original,Krakens_Fist_0
Bone Bracelet,Epic,24.0,ArmorProtective_Forearm,,TQ,um_n_bonebracelet.dbr,records\item\equipmentarmband\um_n_bonebracelet.dbr,um_n_bonebracelet.dbr,Original,Bone_Bracelet_0
Impenetrable Helm,Epic,52.0,ArmorProtective_Head,,TQ,u_e_impenetrablehelm.dbr,records\item\equipmenthelm\u_e_impenetrablehelm.dbr,u_e_impenetrablehelm.dbr,Original,Impenetrable_Helm_0
Eye of Osiris,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_eyeofosiris.dbr,records\item\equipmentweapon\staff\u_l_eyeofosiris.dbr,u_l_eyeofosiris.dbr,Original,Eye_of_Osiris_0
Crag,Epic,20.0,ArmorProtective_Head,,TQ,u_n_crag.dbr,records\item\equipmenthelm\u_n_crag.dbr,u_n_crag.dbr,Original,Crag_0
Warchief's Bracers,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_yerren.dbr,records\item\equipmentarmband\mi_l_yerren.dbr,mi_l_yerren.dbr,Original,Warchiefs_Bracers_1
Epic Crystal of Erebus,Common,,ItemCharm,,TQ Immortal Throne,xpack/02_act4_erebancrystal.dbr,records\xpack\item\charms\02_act4_erebancrystal.dbr,02_act4_erebancrystal.dbr,xpack,Epic_Crystal_of_Erebus_0
Wizard Hat,Epic,33.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_n_001.dbr,records\xpack\item\equipmentarmor\helm\um_n_001.dbr,um_n_001.dbr,xpack,Wizard_Hat_0
Venom Sac,Common,,ItemCharm,,TQ,01_multacts_venomsac.dbr,records\item\animalrelics\01_multacts_venomsac.dbr,01_multacts_venomsac.dbr,Original,Venom_Sac_0
Hood of the Magi,MonsterInfrequent Normal,5.0,ArmorProtective_Head,,TQ,mi_n_satyrmage.dbr,records\item\equipmenthelm\mi_n_satyrmage.dbr,mi_n_satyrmage.dbr,Original,Hood_of_the_Magi_0
Dark Core,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_darkcore.dbr,records\xpack\item\artifacts\e_la_darkcore.dbr,e_la_darkcore.dbr,xpack,Dark_Core_0
Alpenglow,Epic,63.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/u_e_01.dbr,records\xpack2\item\equipmentweapons\shield\u_e_01.dbr,u_e_01.dbr,xpack2,Alpenglow_0
The Night Mistress's Clutch,MonsterInfrequent Legendary,71.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/mi_l_empousa.dbr,records\xpack\item\equipmentweapons\staff\mi_l_empousa.dbr,mi_l_empousa.dbr,xpack,The_Night_Mistresss_Clutch_1
Guan Yin's Healing Rod,Epic,28.0,WeaponMagical_Staff,,TQ,u_n_guanyin'shealingrod.dbr,records\item\equipmentweapon\staff\u_n_guanyin'shealingrod.dbr,u_n_guanyin'shealingrod.dbr,Original,Guan_Yins_Healing_Rod_0
Legendary Raptor Tooth,Common,,ItemCharm,,TQ,03_act3_raptortooth.dbr,records\item\animalrelics\03_act3_raptortooth.dbr,03_act3_raptortooth.dbr,Original,Legendary_Raptor_Tooth_0
Prosopon,Epic,37.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_n_06.dbr,records\xpack2\item\equipmentarmor\helm\u_n_06.dbr,u_n_06.dbr,xpack2,Prosopon_0
Helm of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,records\xpack2\item\equipmentarmor\helm\mi_l_einherjar.dbr,mi_l_einherjar.dbr,xpack2,Helm_of_Valhöll_2
Enforcer's Bracer,MonsterInfrequent Normal,10.0,ArmorProtective_Forearm,,TQ,mi_n_boarman.dbr,records\item\equipmentarmband\mi_n_boarman.dbr,mi_n_boarman.dbr,Original,Enforcers_Bracer_2
Sentinel's Cuirass,MonsterInfrequent Legendary,61.0,ArmorProtective_UpperBody,,TQ,mi_l_gorgonmelee.dbr,records\item\equipmentarmor\mi_l_gorgonmelee.dbr,mi_l_gorgonmelee.dbr,Original,Sentinels_Cuirass_1
Arcane Formula ~ Dragontongue,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_dragontongue_formula.dbr,records\xpack\item\artifacts\arcaneformulae\e_ga_dragontongue_formula.dbr,e_ga_dragontongue_formula.dbr,xpack,Arcane_Formula_~_Dragontongue_0
Lupine Claw,Common,,ItemCharm,,TQ,01_act2_lupineclaw.dbr,records\item\animalrelics\01_act2_lupineclaw.dbr,01_act2_lupineclaw.dbr,Original,Lupine_Claw_0
Triton Armor,MonsterInfrequent Legendary,75.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_merfolk.dbr,records\xpack2\item\equipmentarmor\torso\mi_l_merfolk.dbr,mi_l_merfolk.dbr,xpack2,Triton_Armor_0
Shroud of Ker,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_keresmage.dbr,records\xpack\item\equipmentarmor\helm\mi_n_keresmage.dbr,mi_n_keresmage.dbr,xpack,Shroud_of_Ker_2
Kelpie Circlet,MonsterInfrequent Legendary,77.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_kelpie.dbr,records\xpack2\item\equipmentarmor\helm\mi_l_kelpie.dbr,mi_l_kelpie.dbr,xpack2,Kelpie_Circlet_1
Porphyrion's Breastplate,MonsterInfrequent Legendary,71.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_gigantesmelee.dbr,records\xpack\item\equipmentarmor\torso\mi_l_gigantesmelee.dbr,mi_l_gigantesmelee.dbr,xpack,Porphyrions_Breastplate_1
Blackguard,Epic,39.0,ArmorProtective_UpperBody,,TQ,u_e_blackguard.dbr,records\item\equipmentarmor\u_e_blackguard.dbr,u_e_blackguard.dbr,Original,Blackguard_0
Prostasia,Epic,36.0,ArmorJewelry_Ring,,TQ,u_e_prostasia.dbr,records\item\equipmentring\u_e_prostasia.dbr,u_e_prostasia.dbr,Original,Prostasia_0
Rod of the Ancients,Legendary,53.0,WeaponMagical_Staff,,TQ,u_e_rodoftheancients.dbr,records\item\equipmentweapon\staff\u_e_rodoftheancients.dbr,u_e_rodoftheancients.dbr,Original,Rod_of_the_Ancients_0
Alke,Legendary,50.0,ArmorJewelry_Ring,Gladiator's Creed,TQ,us_e_gladiator'screed01.dbr,records\item\equipmentring\us_e_gladiator'screed01.dbr,us_e_gladiator'screed01.dbr,Original,Alke_0
Sprig,MonsterInfrequent Epic,53.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/mi_e_anteok.dbr,records\xpack\item\equipmentweapons\club\mi_e_anteok.dbr,mi_e_anteok.dbr,xpack,Sprig_1
Blacksteel Bulwark,MonsterInfrequent Normal,38.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_n_eldjotun.dbr,records\xpack2\item\equipmentweapons\shield\mi_n_eldjotun.dbr,mi_n_eldjotun.dbr,xpack2,Blacksteel_Bulwark_1
Epic Spiny Shell,Common,,ItemCharm,,TQ Immortal Throne,xpack/02_act4_spinyshell.dbr,records\xpack\item\charms\02_act4_spinyshell.dbr,02_act4_spinyshell.dbr,xpack,Epic_Spiny_Shell_0
Myrmigki Leggings,MonsterInfrequent Epic,54.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_formicidmage01.dbr,records\xpack\item\equipmentarmor\greaves\mi_e_formicidmage01.dbr,mi_e_formicidmage01.dbr,xpack,Myrmigki_Leggings_1
Ch'kra's Vestment,MonsterInfrequent Epic,55.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_e_formicidmage02.dbr,records\xpack\item\equipmentarmor\torso\mi_e_formicidmage02.dbr,mi_e_formicidmage02.dbr,xpack,Chkras_Vestment_0
Skyfire Pendant,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_skyfirependant.dbr,records\xpack\item\artifacts\n_la_skyfirependant.dbr,n_la_skyfirependant.dbr,xpack,Skyfire_Pendant_0
Waylayer's Jerkin,Epic,12.0,ArmorProtective_UpperBody,,TQ,u_n_waylayer'sjerkin.dbr,records\item\equipmentarmor\u_n_waylayer'sjerkin.dbr,u_n_waylayer'sjerkin.dbr,Original,Waylayers_Jerkin_0
Verdant Plate,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_verdantplate.dbr,records\item\equipmentarmor\u_l_verdantplate.dbr,u_l_verdantplate.dbr,Original,Verdant_Plate_0
Arcane Formula ~ Scroll of Oneiros,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_scrollofoneiros_formula.dbr,records\xpack\item\artifacts\arcaneformulae\n_la_scrollofoneiros_formula.dbr,n_la_scrollofoneiros_formula.dbr,xpack,Arcane_Formula_~_Scroll_of_Oneiros_0
Folg,MonsterInfrequent Legendary,71.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/mi_l_troglodyte.dbr,records\xpack\item\equipmentweapons\club\mi_l_troglodyte.dbr,mi_l_troglodyte.dbr,xpack,Folg_1
Bone Greaves,Legendary,53.0,ArmorProtective_LowerBody,Bone Armor,TQ,us_e_bonearmor.dbr,records\item\equipmentgreaves\us_e_bonearmor.dbr,us_e_bonearmor.dbr,Original,Bone_Greaves_0
Prowler's Cuirass,MonsterInfrequent Legendary,69.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanmelee.dbr,records\item\equipmentarmor\mi_l_tigermanmelee.dbr,mi_l_tigermanmelee.dbr,Original,Prowlers_Cuirass_1
Arcane Formula ~ Effigy of Skyfire,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_effigyofskyfire_formula.dbr,records\xpack\item\artifacts\arcaneformulae\e_ga_effigyofskyfire_formula.dbr,e_ga_effigyofskyfire_formula.dbr,xpack,Arcane_Formula_~_Effigy_of_Skyfire_0
Huntsman's Barb,Epic,8.0,WeaponHunting_Spear,,TQ,u_n_huntsman'sbarb.dbr,records\item\equipmentweapon\spear\u_n_huntsman'sbarb.dbr,u_n_huntsman'sbarb.dbr,Original,Huntsmans_Barb_0
Brigand's Bow,MonsterInfrequent Legendary,60.0,WeaponHunting_Bow,,TQ,mi_l_satyrbrigand.dbr,records\item\equipmentweapon\bow\mi_l_satyrbrigand.dbr,mi_l_satyrbrigand.dbr,Original,Brigands_Bow_0
Hector's Flashing Helm,Legendary,68.0,ArmorProtective_Head,Hector's Bronze Armor,TQ,u_l_hector'sflashinghelm.dbr,records\item\equipmenthelm\u_l_hector'sflashinghelm.dbr,u_l_hector'sflashinghelm.dbr,Original,Hectors_Flashing_Helm_0
Druidic Wreath,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_ga_druidicwreath.dbr,records\xpack\item\artifacts\n_ga_druidicwreath.dbr,n_ga_druidicwreath.dbr,xpack,Druidic_Wreath_0
