,Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
506,Pelt of the Nemean Lion,Legendary,65.0,ArmorProtective_UpperBody,Nemean Lion Hide,TQ,us_l_nemeanlionhide.dbr,b'records\\item\\equipmentarmorus_l_nemeanlionhide.dbr'
507,Minoxian Armor,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_minoxianarmor.dbr,b'records\\item\\equipmentarmoru_l_minoxianarmor.dbr'
508,Bloodborn Girdle,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_melinoemage.dbr'
509,Esus' Travelling Boots,Legendary,77.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_l_01.dbr'
510,Shield of the Hideous Visage,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_shieldofthehideousvisage.dbr,b'records\\item\\equipmentshieldu_e_shieldofthehideousvisage.dbr'
511,Amulet of Hygeia,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_amuletofhygeia.dbr,b'records\\item\\equipmentamuletu_e_amuletofhygeia.dbr'
512,Lar,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_troglodytemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_n_troglodytemelee.dbr'
513,Embodiment of the Stew of Eldhrimnir,Common,,ItemRelic,,TQ Ragnarok,xpack2/02_act5_stewofeldhrimnir.dbr,b'records\\xpack2\\item\\relics02_act5_stewofeldhrimnir.dbr'
514,The Ixion Stone,Legendary,56.0,ArmorJewelry_Amulet,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\amuletu_e_002.dbr'
515,Bear Rider's Bracers,MonsterInfrequent Epic,59.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_yerren.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_yerren.dbr'
516,Elemental Reaver,Legendary,61.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_e_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_e_03.dbr'
517,Master Forge Greaves,MonsterInfrequent Epic,59.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_dvergrmelee.dbr'
518,Mbuti's Advocate,MonsterInfrequent Normal,30.0,WeaponHunting_Spear,,TQ Immortal Throne,xpack/mi_n_anouran.dbr,b'records\\xpack\\item\\equipmentweapons\\spearmi_n_anouran.dbr'
519,Tome of Transfiguration,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_tomeoftransfiguration.dbr,b'records\\xpack\\item\\artifactse_la_tomeoftransfiguration.dbr'
520,Legguards of the Flameborn,Legendary,75.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesu_l_001.dbr'
521,Raven's Beak,Epic,37.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_n_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_n_03.dbr'
522,Cynic's Cover,Epic,12.0,ArmorProtective_Head,,TQ,um_n_cynic'scover.dbr,"b""records\\item\\equipmenthelmum_n_cynic'scover.dbr"""
523,Hoe of Destruction,Epic,16.0,WeaponHunting_Spear,,TQ,u_n_hoeofdestruction.dbr,b'records\\item\\equipmentweapon\\spearu_n_hoeofdestruction.dbr'
524,Witch Doctor's Leggings,MonsterInfrequent Legendary,68.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_anouranmage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_anouranmage.dbr'
525,Einherjar's Stand,MonsterInfrequent Legendary,78.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\shieldmi_l_einherjar.dbr'
526,Essence of the Light of Belenus,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_lightofbelenus.dbr,b'records\\xpack2\\item\\relics01_act5_lightofbelenus.dbr'
527,Archmage's Diadem,Legendary,71.0,ArmorProtective_Head,Archmage's Regalia,TQ,usm_l_archmage'sregalia.dbr,"b""records\\item\\equipmenthelmusm_l_archmage'sregalia.dbr"""
528,Myrmigki Leggings,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_formicidmage01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_formicidmage01.dbr'
529,Summoner's Rod,Epic,45.0,WeaponMagical_Staff,,TQ,u_e_summoner'srod.dbr,"b""records\\item\\equipmentweapon\\staffu_e_summoner'srod.dbr"""
530,Silver Charm of Cassandra,Legendary,59.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_e_001.dbr'
531,Hood of the Chosen,MonsterInfrequent Legendary,76.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_nerthusshaman.dbr'
532,Jackal's Harness,MonsterInfrequent Legendary,63.0,ArmorProtective_UpperBody,,TQ,mi_l_jackalmanmelee.dbr,b'records\\item\\equipmentarmormi_l_jackalmanmelee.dbr'
533,Hermes' Winged Helm,Legendary,68.0,ArmorProtective_Head,,TQ,u_l_hermes'wingedhelm.dbr,"b""records\\item\\equipmenthelmu_l_hermes'wingedhelm.dbr"""
534,Echoe of Tartarus,Epic,58.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_e_08.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_e_08.dbr'
535,Chthonian Needler,Legendary,75.0,WeaponHunting_Bow,,TQ Immortal Throne,xpack/u_l_002.dbr,b'records\\xpack\\item\\equipmentweapons\\bowu_l_002.dbr'
536,Spear of Renenutet,Epic,45.0,WeaponHunting_Spear,,TQ,u_e_spearofrenunutet.dbr,b'records\\item\\equipmentweapon\\spearu_e_spearofrenunutet.dbr'
537,Bloodborn Leggings,MonsterInfrequent Epic,58.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_e_melinoemage.dbr'
538,Diomedes' Buskin,Epic,56.0,ArmorProtective_LowerBody,Diomedes' Armor,TQ Immortal Throne,xpack/us_e_002.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesus_e_002.dbr'
539,Embodiment of the Domain of the Dragon-Kings,Common,,ItemRelic,,TQ,02_act3_dragonkingsdomain.dbr,b'records\\item\\relics02_act3_dragonkingsdomain.dbr'
540,Master Forge Helmet,MonsterInfrequent Epic,59.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_dvergrmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_dvergrmelee.dbr'
541,Skeletal Darts,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_skeleton.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_skeleton.dbr'
542,Anaplekte's Cuirass,MonsterInfrequent Legendary,70.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_keresmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_keresmelee.dbr'
543,Anaplekte's Skullcap,MonsterInfrequent Legendary,70.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_keresmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_keresmelee.dbr'
544,Troll's Basher,MonsterInfrequent Legendary,76.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubmi_l_troll.dbr'
545,Tracker's Hood,Legendary,71.0,ArmorProtective_Head,Tracker's Armor,TQ,us_l_tracker'sarmor.dbr,"b""records\\item\\equipmenthelmus_l_tracker'sarmor.dbr"""
546,Myrmidon's Skullplate,MonsterInfrequent Epic,57.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_formicidmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_formicidmelee02.dbr'
547,Overseer's Mantle,MonsterInfrequent Epic,45.0,ArmorProtective_UpperBody,,TQ,mi_e_reptilian.dbr,b'records\\item\\equipmentarmormi_e_reptilian.dbr'
548,The Godi's Bracers,Epic,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_02.dbr'
549,Alexander's Pelta,Legendary,59.0,WeaponArmor_Shield,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmentshieldus_l_alexander'spanoply.dbr"""
550,Ares' War Helm,Legendary,71.0,ArmorProtective_Head,,TQ,u_l_ares'warhelm.dbr,"b""records\\item\\equipmenthelmu_l_ares'warhelm.dbr"""
551,Raven's Shadow,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_ravensshadow.dbr,b'records\\xpack\\item\\artifactse_la_ravensshadow.dbr'
552,Shroud of the Night,Epic,20.0,ArmorProtective_Head,Gebel Tjauti,TQ,us_n_gebeltjauti.dbr,b'records\\item\\equipmenthelmus_n_gebeltjauti.dbr'
553,Buskins of Valhöll,MonsterInfrequent Normal,37.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_n_einherjar.dbr'
554,Ichthian Aegis,MonsterInfrequent Epic,48.0,ArmorProtective_UpperBody,,TQ,mi_e_ichthianmelee.dbr,b'records\\item\\equipmentarmormi_e_ichthianmelee.dbr'
555,Hand of Hephaestus,Legendary,68.0,WeaponMelee_Mace,Might of Hephaestus,TQ,u_l_handofhephaestus.dbr,b'records\\item\\equipmentweapon\\clubu_l_handofhephaestus.dbr'
556,Essence of Set's Betrayal,Common,,ItemRelic,,TQ,01_act2_setsbetrayal.dbr,b'records\\item\\relics01_act2_setsbetrayal.dbr'
557,Spear of Argo,Epic,24.0,WeaponHunting_Spear,,TQ,u_n_spearofargo.dbr,b'records\\item\\equipmentweapon\\spearu_n_spearofargo.dbr'
558,Discs of Mani,Legendary,79.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_l_04.dbr'
559,Battlemage Bracers,Legendary,53.0,ArmorProtective_Forearm,Vestments of the Battlemage,TQ,usm_e_vestmentsofthebattlemage.dbr,b'records\\item\\equipmentarmbandusm_e_vestmentsofthebattlemage.dbr'
560,Essence of the Valor of Achilles,Common,,ItemRelic,,TQ,01_act1_valorofachilles.dbr,b'records\\item\\relics01_act1_valorofachilles.dbr'
561,Flakes of Muspelheim,Epic,34.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_13.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_13.dbr'
562,Figurehead of Naglfar,Legendary,77.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubu_l_02.dbr'
563,Moonclaw,Epic,8.0,ArmorJewelry_Amulet,,TQ,u_n_moonclaw.dbr,b'records\\item\\equipmentamuletu_n_moonclaw.dbr'
564,Polaris,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_polaris.dbr,b'records\\item\\equipmentamuletu_e_polaris.dbr'
565,Einherjar's Fate,MonsterInfrequent Legendary,78.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_l_einherjar.dbr'
566,Proioxis,MonsterInfrequent Epic,56.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_e_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_e_machaemelee.dbr'
567,Breastplate of the Minotaur,MonsterInfrequent Legendary,62.0,ArmorProtective_UpperBody,,TQ,mi_l_minotaur.dbr,b'records\\item\\equipmentarmormi_l_minotaur.dbr'
568,Plouton's Bracelet,Legendary,75.0,ArmorProtective_Forearm,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandusm_l_001.dbr'
569,Epona's Hog Mane,Epic,61.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_e_07.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_e_07.dbr'
570,Mentuhotep's Shield,Epic,42.0,WeaponArmor_Shield,,TQ,u_e_mentuhotep'sshield.dbr,"b""records\\item\\equipmentshieldu_e_mentuhotep'sshield.dbr"""
571,Huo Qubing's Greaves,Legendary,68.0,ArmorProtective_LowerBody,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,"b""records\\item\\equipmentgreavesus_l_huoqubing'srelics.dbr"""
572,Incarnation of the Code of Hammurabi,Common,,ItemRelic,,TQ,03_act3_codeofhammurabi.dbr,b'records\\item\\relics03_act3_codeofhammurabi.dbr'
573,Flame Skin,Epic,26.0,ArmorProtective_UpperBody,,TQ,u_n_flameskin.dbr,b'records\\item\\equipmentarmoru_n_flameskin.dbr'
574,Ritual Cleaver,Legendary,79.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_l_01.dbr'
575,Djinn's Shackles,MonsterInfrequent Epic,49.0,ArmorProtective_Forearm,,TQ,mi_e_djinn.dbr,b'records\\item\\equipmentarmbandmi_e_djinn.dbr'
576,Demonic Rippers,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_machae.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_machae.dbr'
577,Mantis Stride,Epic,26.0,ArmorProtective_LowerBody,Safeguard of the Mantis,TQ,us_n_safeguardofthemantis.dbr,b'records\\item\\equipmentgreavesus_n_safeguardofthemantis.dbr'
578,Warden's Faith,Epic,39.0,WeaponArmor_Shield,Warden's Charge,TQ,us_e_warden'scharge.dbr,"b""records\\item\\equipmentshieldus_e_warden'scharge.dbr"""
579,Volatile Shield,Epic,36.0,WeaponArmor_Shield,,TQ,u_e_volatileshield.dbr,b'records\\item\\equipmentshieldu_e_volatileshield.dbr'
580,Windswept Pack,MonsterInfrequent Epic,44.0,ArmorProtective_UpperBody,,TQ,mi_e_duneraiderb.dbr,b'records\\item\\equipmentarmormi_e_duneraiderb.dbr'
581,Bormo's Arm Ring,Epic,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_n_05.dbr'
582,Helm of the Sphinx,Epic,48.0,ArmorProtective_Head,The Sphinx,TQ,us_e_thesphinx.dbr,b'records\\item\\equipmenthelmus_e_thesphinx.dbr'
583,Marauder's Helm,MonsterInfrequent Legendary,70.0,ArmorProtective_Head,,TQ,mi_l_neanderthalmelee.dbr,b'records\\item\\equipmenthelmmi_l_neanderthalmelee.dbr'
584,Einherjar's Line,MonsterInfrequent Normal,37.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_n_einherjar.dbr'
585,Bai Hu's Mantle,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanmage.dbr,b'records\\item\\equipmentarmormi_l_tigermanmage.dbr'
586,Stag Helm of Cernunnos,Legendary,77.0,ArmorProtective_Head,Guise of the Horned God,TQ Ragnarok,xpack2/us_l_hornedgod.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmus_l_hornedgod.dbr'
587,Incarnation of the Power of Nerthus,Common,,ItemRelic,,TQ Ragnarok,xpack2/03_act5_nerthusmistletoe.dbr,b'records\\xpack2\\item\\relics03_act5_nerthusmistletoe.dbr'
588,Geras' Walking Stick,Legendary,53.0,WeaponMagical_Staff,,TQ,u_e_geras'walkingstick.dbr,"b""records\\item\\equipmentweapon\\staffu_e_geras'walkingstick.dbr"""
589,Gauntlets of the Restless King,MonsterInfrequent Legendary,77.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_l_draugr.dbr'
590,Crystalline Helm,Legendary,56.0,ArmorProtective_Head,Crystalline Array,TQ,us_e_crystallinearray.dbr,b'records\\item\\equipmenthelmus_e_crystallinearray.dbr'
591,Ethereal Clasp,MonsterInfrequent Epic,39.0,ArmorProtective_Forearm,,TQ,mi_e_wraith.dbr,b'records\\item\\equipmentarmbandmi_e_wraith.dbr'
592,Phoenix,Legendary,65.0,WeaponMelee_Axe,,TQ,u_l_phoenix.dbr,b'records\\item\\equipmentweapon\\axeu_l_phoenix.dbr'
593,Jaguar Claws,MonsterInfrequent Epic,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_e_maenad.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_e_maenad.dbr'
594,Armguards of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_l_einherjar.dbr'
595,Serenity,Epic,46.0,ArmorJewelry_Amulet,,TQ,u_e_serenity.dbr,b'records\\item\\equipmentamuletu_e_serenity.dbr'
596,Chang-Kuo Lau's Steel Blur,Epic,49.0,WeaponMelee_Sword,,TQ,u_e_changkuolau'ssteelblur.dbr,"b""records\\item\\equipmentweapon\\swordu_e_changkuolau'ssteelblur.dbr"""
597,Helm of Valhöll,MonsterInfrequent Normal,37.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_n_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_n_einherjar.dbr'
598,Giant's Tooth,Legendary,79.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubu_l_01.dbr'
599,Prowler's Cuffs,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_tigermanmelee.dbr,b'records\\item\\equipmentarmbandmi_l_tigermanmelee.dbr'
600,Soul Prism,Greater,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_ga_soulprism.dbr,b'records\\xpack\\item\\artifactsn_ga_soulprism.dbr'
601,Essence of the Aegis of Athena,Common,,ItemRelic,,TQ,01_act1_aegisofathena.dbr,b'records\\item\\relics01_act1_aegisofathena.dbr'
602,Outrider's Buckler,MonsterInfrequent Normal,4.0,WeaponArmor_Shield,,TQ,mi_n_centaur.dbr,b'records\\item\\equipmentshieldmi_n_centaur.dbr'
603,Barbarian's Spiked Greaves,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesu_e_001.dbr'
604,Kydoimos,Legendary,68.0,WeaponMelee_Sword,Children of Ares,TQ,us_l_childrenofares.dbr,b'records\\item\\equipmentweapon\\swordus_l_childrenofares.dbr'
605,Arcane Formula ~ Emerald Quill,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_la_emeraldquill_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_la_emeraldquill_formula.dbr'
606,Porphyrion's Helm,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_gigantesmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_n_gigantesmelee01.dbr'
607,Memnon's Signet,Epic,36.0,ArmorJewelry_Ring,Memnon's Raiment,TQ,us_e_memnon'sraiment.dbr,"b""records\\item\\equipmentringus_e_memnon'sraiment.dbr"""
608,Porphyrion's Legplates,MonsterInfrequent Normal,32.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_n_gigantesmelee.dbr'
609,Fire Spike,Epic,8.0,WeaponHunting_Spear,,TQ,u_n_firespike.dbr,b'records\\item\\equipmentweapon\\spearu_n_firespike.dbr'
610,Crescent Moon of Artemis,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_da_crescentmoonofartemis.dbr,b'records\\xpack\\item\\artifactse_da_crescentmoonofartemis.dbr'
611,Cuirass of Viridomarus,Epic,63.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_e_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_e_05.dbr'
612,Age Axe,Epic,39.0,WeaponMelee_Axe,,TQ,u_e_ageaxe.dbr,b'records\\item\\equipmentweapon\\axeu_e_ageaxe.dbr'
613,Bonehack,Epic,33.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\axeu_n_001.dbr'
614,Shield of the Korybantes,Legendary,50.0,WeaponArmor_Shield,,TQ,u_e_shieldofthekorybantes.dbr,b'records\\item\\equipmentshieldu_e_shieldofthekorybantes.dbr'
615,Glacial Maul,Legendary,65.0,WeaponMelee_Mace,,TQ,u_l_glacialmaul.dbr,b'records\\item\\equipmentweapon\\clubu_l_glacialmaul.dbr'
616,Crown of the Liche King,MonsterInfrequent Epic,54.0,ArmorProtective_Head,,TQ,mi_e_liche.dbr,b'records\\item\\equipmenthelmmi_e_liche.dbr'
617,Warlord's Coat,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_tigermanchampion.dbr,b'records\\item\\equipmentarmormi_l_tigermanchampion.dbr'
618,Pharaoh's Standard,Epic,16.0,WeaponMagical_Staff,,TQ,u_n_pharaoh'sstandard.dbr,"b""records\\item\\equipmentweapon\\staffu_n_pharaoh'sstandard.dbr"""
619,Smith's Hammer,Epic,8.0,WeaponMelee_Mace,,TQ,u_n_smith'shammer.dbr,"b""records\\item\\equipmentweapon\\clubu_n_smith'shammer.dbr"""
620,Djinn's Shackles,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_djinn.dbr,b'records\\item\\equipmentarmbandmi_l_djinn.dbr'
621,Creeping Death,Epic,28.0,WeaponMelee_Axe,,TQ,u_n_creepingdeath.dbr,b'records\\item\\equipmentweapon\\axeu_n_creepingdeath.dbr'
622,Legendary Bat Fang,Common,,ItemCharm,,TQ,03_act1_batfang.dbr,b'records\\item\\animalrelics03_act1_batfang.dbr'
623,Head Hunter's Axe,MonsterInfrequent Normal,24.0,WeaponMelee_Axe,,TQ,mi_n_dragonian.dbr,b'records\\item\\equipmentweapon\\axemi_n_dragonian.dbr'
624,Troll's Cutter,MonsterInfrequent Legendary,76.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_l_troll.dbr'
625,Dvergr Runestones,MonsterInfrequent Normal,37.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_n_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_n_dvergr.dbr'
626,Ichthian Stinger,MonsterInfrequent Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/mi_l_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowmi_l_fjordmelee.dbr'
627,Kraken's Fist,Legendary,68.0,WeaponMelee_Mace,,TQ,u_l_krakensfist.dbr,b'records\\item\\equipmentweapon\\clubu_l_krakensfist.dbr'
628,Bone Bracelet,Epic,24.0,ArmorProtective_Forearm,,TQ,um_n_bonebracelet.dbr,b'records\\item\\equipmentarmbandum_n_bonebracelet.dbr'
629,Impenetrable Helm,Epic,52.0,ArmorProtective_Head,,TQ,u_e_impenetrablehelm.dbr,b'records\\item\\equipmenthelmu_e_impenetrablehelm.dbr'
630,Eye of Osiris,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_eyeofosiris.dbr,b'records\\item\\equipmentweapon\\staffu_l_eyeofosiris.dbr'
631,Crag,Epic,20.0,ArmorProtective_Head,,TQ,u_n_crag.dbr,b'records\\item\\equipmenthelmu_n_crag.dbr'
632,Warchief's Bracers,MonsterInfrequent Legendary,67.0,ArmorProtective_Forearm,,TQ,mi_l_yerren.dbr,b'records\\item\\equipmentarmbandmi_l_yerren.dbr'
633,Epic Crystal of Erebus,Common,,ItemCharm,,TQ Immortal Throne,xpack/02_act4_erebancrystal.dbr,b'records\\xpack\\item\\charms02_act4_erebancrystal.dbr'
634,Wizard Hat,Epic,33.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_n_001.dbr'
635,Venom Sac,Common,,ItemCharm,,TQ,01_multacts_venomsac.dbr,b'records\\item\\animalrelics01_multacts_venomsac.dbr'
636,Hood of the Magi,MonsterInfrequent Normal,5.0,ArmorProtective_Head,,TQ,mi_n_satyrmage.dbr,b'records\\item\\equipmenthelmmi_n_satyrmage.dbr'
637,Dark Core,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_darkcore.dbr,b'records\\xpack\\item\\artifactse_la_darkcore.dbr'
638,Alpenglow,Epic,63.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/u_e_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\shieldu_e_01.dbr'
639,The Night Mistress's Clutch,MonsterInfrequent Legendary,71.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/mi_l_empousa.dbr,b'records\\xpack\\item\\equipmentweapons\\staffmi_l_empousa.dbr'
640,Guan Yin's Healing Rod,Epic,28.0,WeaponMagical_Staff,,TQ,u_n_guanyin'shealingrod.dbr,"b""records\\item\\equipmentweapon\\staffu_n_guanyin'shealingrod.dbr"""
641,Legendary Raptor Tooth,Common,,ItemCharm,,TQ,03_act3_raptortooth.dbr,b'records\\item\\animalrelics03_act3_raptortooth.dbr'
642,Prosopon,Epic,37.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_n_06.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_n_06.dbr'
643,Helm of Valhöll,MonsterInfrequent Legendary,78.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_l_einherjar.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_l_einherjar.dbr'
644,Enforcer's Bracer,MonsterInfrequent Normal,10.0,ArmorProtective_Forearm,,TQ,mi_n_boarman.dbr,b'records\\item\\equipmentarmbandmi_n_boarman.dbr'
645,Sentinel's Cuirass,MonsterInfrequent Legendary,61.0,ArmorProtective_UpperBody,,TQ,mi_l_gorgonmelee.dbr,b'records\\item\\equipmentarmormi_l_gorgonmelee.dbr'
646,Arcane Formula ~ Dragontongue,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_dragontongue_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_ga_dragontongue_formula.dbr'
647,Lupine Claw,Common,,ItemCharm,,TQ,01_act2_lupineclaw.dbr,b'records\\item\\animalrelics01_act2_lupineclaw.dbr'
648,Triton Armor,MonsterInfrequent Legendary,75.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_merfolk.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_merfolk.dbr'
