record,_id,isit,isr,isatl,find,category,class,pack,_Name,Name,id,Quality
records\xpack3\items\equipmentweapon\shield\mi_e_serpentoid.dbr,x3tagMISerpentoidShield,True,False,True,,Shield,WeaponArmor_Shield,xpack3,mi_e_serpentoid_Shield_xpack3,,mi_e_serpentoid_Shield_xpack3,
records\xpack3\items\equipmentweapon\spear\mi_e_serpentoid.dbr,x3tagMISerpentoidSpear,True,False,True,,Spear,WeaponHunting_Spear,xpack3,mi_e_serpentoid_Spear_xpack3,,mi_e_serpentoid_Spear_xpack3,
records\xpack3\items\equipmentweapon\sword\mi_e_serpentoid.dbr,x3tagMISerpentoidSword,True,False,True,,Sword,WeaponMelee_Sword,xpack3,mi_e_serpentoid_Sword_xpack3,,mi_e_serpentoid_Sword_xpack3,
records\xpack3\items\equipmentweapon\staff\mi_e_serpentoid_fire.dbr,x3tagMISerpentoidStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_e_serpentoid_fire_Staff_xpack3,,mi_e_serpentoid_fire_Staff_xpack3,
records\xpack3\items\equipmentweapon\staff\mi_e_serpentoid_frost.dbr,x3tagMISerpentoidStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_e_serpentoid_frost_Staff_xpack3,,mi_e_serpentoid_frost_Staff_xpack3,
records\xpack3\items\equipmentweapon\staff\mi_e_serpentoid_lightning.dbr,x3tagMISerpentoidStaff,True,False,True,,Staff,WeaponMagical_Staff,xpack3,mi_e_serpentoid_lightning_Staff_xpack3,,mi_e_serpentoid_lightning_Staff_xpack3,
records\xpack3\items\equipmentarmor\armband\mi_e_tritonwarriormelee.dbr,x3tagMITritonWarriorArms,True,False,True,,Armbands,ArmorProtective_Forearm,xpack3,mi_e_tritonwarriormelee_Armbands_xpack3,,mi_e_tritonwarriormelee_Armbands_xpack3,
records\xpack3\items\equipmentarmor\torso\mi_e_tritonwarriormelee.dbr,x3tagMITritonWarriorTorso,True,False,True,,Armor,ArmorProtective_UpperBody,xpack3,mi_e_tritonwarriormelee_Armor_xpack3,,mi_e_tritonwarriormelee_Armor_xpack3,
records\xpack3\items\equipmentarmor\armband\mi_e_tritonwitchmage.dbr,x3tagMITritonWitchArmsCaster,True,False,True,,Armbands,ArmorProtective_Forearm,xpack3,mi_e_tritonwitchmage_Armbands_xpack3,,mi_e_tritonwitchmage_Armbands_xpack3,
records\xpack3\items\equipmentarmor\helm\mi_e_tritonwitchmage.dbr,x3tagMITritonWitchHeadCaster,True,False,True,,Helm,ArmorProtective_Head,xpack3,mi_e_tritonwitchmage_Helm_xpack3,,mi_e_tritonwitchmage_Helm_xpack3,
records\xpack3\items\equipmentarmor\torso\mi_e_tritonwitchmage.dbr,x3tagMITritonWitchTorsoCaster,True,False,True,,Armor,ArmorProtective_UpperBody,xpack3,mi_e_tritonwitchmage_Armor_xpack3,,mi_e_tritonwitchmage_Armor_xpack3,
records\xpack3\items\equipmentweapon\axe\mi_e_tritonwarrior.dbr,x3tagMITritonWarriorAxe,True,False,True,,Axe,WeaponMelee_Axe,xpack3,mi_e_tritonwarrior_Axe_xpack3,,mi_e_tritonwarrior_Axe_xpack3,
records\xpack3\items\equipmentweapon\club\mi_e_tritonwarrior.dbr,x3tagMITritonWarriorClub,True,False,True,,Mace,WeaponMelee_Mace,xpack3,mi_e_tritonwarrior_Mace_xpack3,,mi_e_tritonwarrior_Mace_xpack3,
records\xpack3\items\equipmentweapon\shield\mi_e_tritonwarrior.dbr,x3tagMITritonWarriorShield,True,False,True,,Shield,WeaponArmor_Shield,xpack3,mi_e_tritonwarrior_Shield_xpack3,,mi_e_tritonwarrior_Shield_xpack3,
records\xpack3\items\equipmentweapon\spear\mi_e_tritonwarrior.dbr,x3tagMITritonWarriorSpear,True,False,True,,Spear,WeaponHunting_Spear,xpack3,mi_e_tritonwarrior_Spear_xpack3,,mi_e_tritonwarrior_Spear_xpack3,
records\xpack3\items\equipmentweapon\sword\mi_e_tritonwarrior.dbr,x3tagMITritonWarriorSword,True,False,True,,Sword,WeaponMelee_Sword,xpack3,mi_e_tritonwarrior_Sword_xpack3,,mi_e_tritonwarrior_Sword_xpack3,
records\item\equipmentshield\mi_l_arachnos.dbr,tagMIWeapon001,False,False,False,"All Arachnos, @act01$",Shield,WeaponArmor_Shield,Original,mi_l_arachnos_Shield_Original,Deathweaver's Shield,Deathweavers_Shield_1,
records\item\equipmentarmor\mi_l_arachnos.dbr,tagMIArmor050,False,False,False,"All Arachnos, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_arachnos_Armor_Original,Deathweaver's Chitin,Deathweavers_Chitin_0,
records\item\equipmentweapon\sword\mi_l_arachnos.dbr,tagMIWeapon016,False,False,False,"All Arachnos, @act01$",Sword,WeaponMelee_Sword,Original,mi_l_arachnos_Sword_Original,Deathweaver's Legtip,Deathweavers_Legtip_1,
records\item\equipmenthelm\mi_l_arachnos.dbr,tagMIArmor033,False,False,False,"All Arachnos, @act01$",Helm,ArmorProtective_Head,Original,mi_l_arachnos_Helm_Original,Deathweaver's Helmet,Deathweavers_Helmet_0,
records\item\equipmentarmband\mi_l_arachnos.dbr,tagMIArmor001,False,False,False,"All Arachnos, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_arachnos_Armbands_Original,Deathweaver's Armplates,Deathweavers_Armplates_0,
records\item\equipmentarmband\mi_l_bandari.dbr,tagMIArmor002,False,False,False,"Bandari, Palace of Chang'an, @act03$",Armbands,ArmorProtective_Forearm,Original,mi_l_bandari_Armbands_Original,Bandari's Bracers,Bandaris_Bracers_1,
records\item\equipmenthelm\mi_l_bandari.dbr,tagMIArmor034,False,False,False,"Bandari, Palace of Chang'an, @act03$",Helm,ArmorProtective_Head,Original,mi_l_bandari_Helm_Original,Bandari's Helm,Bandaris_Helm_1,
records\item\equipmentgreaves\mi_l_bandari.dbr,tagMIArmor022,False,False,False,"Bandari, Palace of Chang'an, @act03$",Greaves,ArmorProtective_LowerBody,Original,mi_l_bandari_Greaves_Original,Bandari's Greaves,Bandaris_Greaves_0,
records\item\equipmentarmor\mi_l_bandari.dbr,tagMIArmor051,False,False,False,"Bandari, Palace of Chang'an, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_bandari_Armor_Original,Bandari's Corselet,Bandaris_Corselet_1,
records\item\equipmentarmor\mi_l_boarman.dbr,tagMIArmor052,False,False,False,"All Boarmen, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_boarman_Armor_Original,Enforcer's Cuirass,Enforcers_Cuirass_0,
records\item\equipmentarmband\mi_l_boarman.dbr,tagMIArmor081,False,False,False,"All Boarmen, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_boarman_Armbands_Original,Enforcer's Bracer,Enforcers_Bracer_1,
records\item\equipmenthelm\mi_l_centaur.dbr,tagMIArmor035,False,False,False,"Elder, Patriarch, @act01$",Helm,ArmorProtective_Head,Original,mi_l_centaur_Helm_Original,,mi_l_centaur_Helm_Original,
records\item\equipmentshield\mi_l_centaur.dbr,tagMIWeapon002,False,False,False,"Elder, Patriarch, Marauder, Nessus, @act01$",Shield,WeaponArmor_Shield,Original,mi_l_centaur_Shield_Original,Outrider's Buckler,Outriders_Buckler_0,
records\item\equipmentarmor\mi_l_centaur.dbr,tagMIArmor053,False,False,False,"All Centaurs, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_centaur_Armor_Original,,mi_l_centaur_Armor_Original,
records\item\equipmentweapon\spear\mi_l_centaurtrapper.dbr,tagMIWeapon013,False,False,False,"Trapper; Heroes: Mulgor Flamespear, Sergos Longstride, @act01$",Spear,WeaponHunting_Spear,Original,mi_l_centaurtrapper_Spear_Original,Trapper's Spear,Trappers_Spear_0,
records\item\equipmentweapon\club\mi_l_cyclops.dbr,tagMIWeapon010,False,False,False,"Polyphemus, Cyclops' Lair, @act01$",Mace,WeaponMelee_Mace,Original,mi_l_cyclops_Mace_Original,Polyphemus' Tenderizer,Polyphemus_Tenderizer_2,
records\item\equipmenthelm\mi_l_deserthag.dbr,tagMIArmor079,False,False,False,"All Desert Hags, @act02$",Helm,ArmorProtective_Head,Original,mi_l_deserthag_Helm_Original,Deathwing Helmet,Deathwing_Helmet_2,
records\item\equipmentarmband\mi_l_djinn.dbr,tagMIArmor003,False,False,False,"All Djinns, @act03$",Armbands,ArmorProtective_Forearm,Original,mi_l_djinn_Armbands_Original,Djinn's Shackles,Djinns_Shackles_2,
records\item\equipmentweapon\axe\mi_l_dragonian.dbr,tagMIWeapon004,False,False,False,"Headhunter, Ravager, @act03$",Axe,WeaponMelee_Axe,Original,mi_l_dragonian_Axe_Original,Head Hunter's Axe,Head_Hunters_Axe_2,
records\item\equipmentarmor\mi_l_dragonian.dbr,tagMIArmor054,False,False,False,"All Dragonians except mages, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_dragonian_Armor_Original,Razorback Harness,Razorback_Harness_2,
records\item\equipmentweapon\bow\mi_l_duneraider.dbr,tagMIWeapon008,False,False,False,"All Pillagers, Iznu, @act02$",Bow,WeaponHunting_Bow,Original,mi_l_duneraider_Bow_Original,Eldritch's Bow,Eldritchs_Bow_1,
records\xpack2\item\equipmentweapons\1hranged\mi_l_duneraider.dbr,x2tagMIWeapon025,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_l_duneraider_Thrown_xpack2,Dune Raider Knives,Dune_Raider_Knives_0,
records\item\equipmentarmband\mi_l_duneraider.dbr,tagMIArmor004,False,False,False,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_duneraider_Armbands_Original,Windswept Bracers,Windswept_Bracers_0,
records\item\equipmentarmor\mi_l_duneraider.dbr,tagMIArmor055,False,False,False,"All Assassins; Heroes: Badru, Najja, Faceless One, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_duneraider_Armor_Original,Windswept Harness,Windswept_Harness_1,
records\item\equipmentgreaves\mi_l_duneraider.dbr,tagMIArmor023,False,False,False,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$",Greaves,ArmorProtective_LowerBody,Original,mi_l_duneraider_Greaves_Original,Windswept Greaves,Windswept_Greaves_1,
records\item\equipmentarmor\mi_l_duneraiderb.dbr,tagMIArmor080,False,False,False,"All Pillagers, Iznu, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_duneraiderb_Armor_Original,Windswept Pack,Windswept_Pack_1,
records\item\equipmenthelm\mi_l_goldenskeleton.dbr,tagMIArmor036,False,False,False,"All Gilded Dead, Valley of Kings, @act02$",Helm,ArmorProtective_Head,Original,mi_l_goldenskeleton_Helm_Original,Revenant Crown,Revenant_Crown_1,
records\item\equipmentgreaves\mi_l_goldenskeleton.dbr,tagMIArmor024,False,False,False,"All Gilded Dead, Valley of Kings, @act02$",Greaves,ArmorProtective_LowerBody,Original,mi_l_goldenskeleton_Greaves_Original,Revenant Greaves,Revenant_Greaves_0,
records\item\equipmentarmband\mi_l_goldenskeleton.dbr,tagMIArmor005,False,False,False,"All Gilded Dead, Valley of Kings, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_goldenskeleton_Armbands_Original,Revenant Gauntlets,Revenant_Gauntlets_1,
records\item\equipmentarmor\mi_l_goldenskeleton.dbr,tagMIArmor056,False,False,False,"All Gilded Dead, Valley of Kings, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_goldenskeleton_Armor_Original,Revenant Plate,Revenant_Plate_0,
records\xpack2\item\equipmentweapons\1hranged\mi_l_skeleton.dbr,x2tagMIWeapon023,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_l_skeleton_Thrown_xpack2,Skeletal Darts,Skeletal_Darts_0,
records\item\equipmenthelm\mi_l_gorgon.dbr,tagMIArmor037,False,False,False,"All Gorgons except Guards, Euryale, Medusa, Stheno, @act01$",Helm,ArmorProtective_Head,Original,mi_l_gorgon_Helm_Original,Stheno's Wisdom,Sthenos_Wisdom_1,
records\item\equipmentarmband\mi_l_gorgonarcher.dbr,tagMIArmor006,False,False,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_gorgonarcher_Armbands_Original,Stonebinder's Cuffs,Stonebinders_Cuffs_1,
records\item\equipmenthelm\mi_l_gorgonarcher.dbr,tagMIArmor038,False,False,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",Helm,ArmorProtective_Head,Original,mi_l_gorgonarcher_Helm_Original,Stonebinder's Crown,Stonebinders_Crown_0,
records\item\equipmentarmor\mi_l_gorgonarcher.dbr,tagMIArmor057,False,False,False,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_gorgonarcher_Armor_Original,Stonebinder's Sash,Stonebinders_Sash_1,
records\item\equipmenthelm\mi_l_gorgonmelee.dbr,tagMIArmor039,False,False,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",Helm,ArmorProtective_Head,Original,mi_l_gorgonmelee_Helm_Original,Sentinel's Helm,Sentinels_Helm_0,
records\item\equipmentarmor\mi_l_gorgonmelee.dbr,tagMIArmor058,False,False,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_gorgonmelee_Armor_Original,Sentinel's Cuirass,Sentinels_Cuirass_1,
records\item\equipmentarmband\mi_l_gorgonmelee.dbr,tagMIArmor007,False,False,False,"Guard, Archer, Slayer; Hero: Keleos, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_gorgonmelee_Armbands_Original,Sentinel's Armbands,Sentinels_Armbands_1,
records\item\equipmentarmor\mi_l_ichthianmage.dbr,tagMIArmor059,False,False,False,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_ichthianmage_Armor_Original,Ichthian Oracle's Vestment,Ichthian_Oracles_Vestment_0,
records\item\equipmenthelm\mi_l_ichthianmage.dbr,tagMIArmor040,False,False,False,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$",Helm,ArmorProtective_Head,Original,mi_l_ichthianmage_Helm_Original,Ichthian Oracle's Crown,Ichthian_Oracles_Crown_0,
records\item\equipmentweapon\club\mi_l_ichthianmelee.dbr,tagMIWeapon011,False,False,False,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$",Mace,WeaponMelee_Mace,Original,mi_l_ichthianmelee_Mace_Original,Ichthian Whomper,Ichthian_Whomper_1,
records\item\equipmentarmor\mi_l_ichthianmelee.dbr,tagMIArmor060,False,False,False,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_ichthianmelee_Armor_Original,Ichthian Aegis,Ichthian_Aegis_1,
records\item\equipmentweapon\spear\mi_l_ichthianmelee.dbr,tagMIWeapon014,False,False,False,"All Trappers, @act03$",Spear,WeaponHunting_Spear,Original,mi_l_ichthianmelee_Spear_Original,Ichthian Harpoon,Ichthian_Harpoon_2,
records\item\equipmentarmband\mi_l_jackalmanmage.dbr,tagMIArmor008,False,False,False,"All Shamans, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_jackalmanmage_Armbands_Original,Lupine Bracelet,Lupine_Bracelet_1,
records\item\equipmenthelm\mi_l_jackalmanmage.dbr,tagMIArmor041,False,False,False,"All Shamans, Acolyte, Adept; Heroes: Akiiki, Yazid, @act02$",Helm,ArmorProtective_Head,Original,mi_l_jackalmanmage_Helm_Original,Lupine Shroud,Lupine_Shroud_0,
records\item\equipmentarmor\mi_l_jackalmanmage.dbr,tagMIArmor061,False,False,False,"All Shamans, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_jackalmanmage_Armor_Original,Lupine Vestment,Lupine_Vestment_0,
records\item\equipmentarmband\mi_l_jackalmanmelee.dbr,tagMIArmor009,False,False,False,"All Berserkers; Hero: Slobberjaw, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_jackalmanmelee_Armbands_Original,Jackal's Wristguard,Jackals_Wristguard_1,
records\item\equipmentarmor\mi_l_jackalmanmelee.dbr,tagMIArmor062,False,False,False,"All Berserkers; Hero: Slobberjaw, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_jackalmanmelee_Armor_Original,Jackal's Harness,Jackals_Harness_0,
records\xpack2\item\equipmentweapons\1hranged\mi_l_jackalman.dbr,x2tagMIWeapon026,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_l_jackalman_Thrown_xpack2,Jackalman Sling,Jackalman_Sling_0,
records\item\equipmenthelm\mi_l_liche.dbr,tagMIArmor082,False,False,False,"All Abyssal Liches, @act03$",Helm,ArmorProtective_Head,Original,mi_l_liche_Helm_Original,Crown of the Liche King,Crown_of_the_Liche_King_2,
records\item\equipmentweapon\staff\mi_l_liche.dbr,tagMIWeapon019,False,False,False,"All Abyssal Liches, @act03$",Staff,WeaponMagical_Staff,Original,mi_l_liche_Staff_Original,Scepter of the Liche King,Scepter_of_the_Liche_King_2,
records\xpack2\item\equipmentweapons\1hranged\mi_l_maenad.dbr,x2tagMIWeapon024,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_l_maenad_Thrown_xpack2,Jaguar Claws,Jaguar_Claws_1,
records\item\equipmentarmband\mi_l_minotaur.dbr,tagMIArmor010,False,False,False,"Minotaur, Minoan Labyrinth, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_minotaur_Armbands_Original,Bracers of the Minotaur,Bracers_of_the_Minotaur_2,
records\item\equipmentarmor\mi_l_minotaur.dbr,tagMIArmor063,False,False,False,"Minotaur, Minoan Labyrinth, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_minotaur_Armor_Original,Breastplate of the Minotaur,Breastplate_of_the_Minotaur_1,
records\item\equipmentweapon\axe\mi_l_minotaurlord.dbr,tagMIWeapon005,False,False,False,"Minotaur, Minoan Labyrinth, @act01$",Axe,WeaponMelee_Axe,Original,mi_l_minotaurlord_Axe_Original,Kinslay,Kinslay_1,
records\item\equipmenthelm\mi_l_mummy.dbr,tagMIArmor042,False,False,False,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",Helm,ArmorProtective_Head,Original,mi_l_mummy_Helm_Original,Ceremonial Headdress,Ceremonial_Headdress_1,
records\item\equipmentarmor\mi_l_mummy.dbr,tagMIArmor064,False,False,False,"All Embalmed Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_mummy_Armor_Original,Ceremonial Armor,Ceremonial_Armor_2,
records\item\equipmentgreaves\mi_l_mummy.dbr,tagMIArmor025,False,False,False,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",Greaves,ArmorProtective_LowerBody,Original,mi_l_mummy_Greaves_Original,Ceremonial Greaves,Ceremonial_Greaves_1,
records\item\equipmentarmband\mi_l_mummy.dbr,tagMIArmor011,False,False,False,"All Embalmed Dead, all Desiccated Dead; Heroes: Hanif, Nexeu, Senusnet Mal, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_mummy_Armbands_Original,Ceremonial Bracers,Ceremonial_Bracers_0,
records\item\equipmentarmor\mi_l_neanderthalmage.dbr,tagMIArmor065,False,False,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_neanderthalmage_Armor_Original,Shaman's Adornment,Shamans_Adornment_1,
records\item\equipmentarmband\mi_l_neanderthalmage.dbr,tagMIArmor012,False,False,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",Armbands,ArmorProtective_Forearm,Original,mi_l_neanderthalmage_Armbands_Original,Shaman's Coil,Shamans_Coil_1,
records\item\equipmentgreaves\mi_l_neanderthalmage.dbr,tagMIArmor026,False,False,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",Greaves,ArmorProtective_LowerBody,Original,mi_l_neanderthalmage_Greaves_Original,Shaman's Leggings,Shamans_Leggings_2,
records\item\equipmenthelm\mi_l_neanderthalmage.dbr,tagMIArmor043,False,False,False,"Bonecaster, Shaman, Shaman's Apprentice, @act03$",Helm,ArmorProtective_Head,Original,mi_l_neanderthalmage_Helm_Original,Shaman's Headdress,Shamans_Headdress_1,
records\item\equipmenthelm\mi_l_neanderthalmelee.dbr,tagMIArmor044,False,False,False,"Saber Rider, Warrior, Warchief; Heroes: Grom, Korat Bearkin, @act03$",Helm,ArmorProtective_Head,Original,mi_l_neanderthalmelee_Helm_Original,Marauder's Helm,Marauders_Helm_1,
records\item\equipmentarmor\mi_l_neanderthalmelee.dbr,tagMIArmor066,False,False,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_neanderthalmelee_Armor_Original,Marauder's Girdle,Marauders_Girdle_0,
records\item\equipmentarmband\mi_l_neanderthalmelee.dbr,tagMIArmor013,False,False,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",Armbands,ArmorProtective_Forearm,Original,mi_l_neanderthalmelee_Armbands_Original,Marauder's Armguard,Marauders_Armguard_0,
records\item\equipmentweapon\axe\mi_l_neanderthalmelee.dbr,tagMIWeapon006,False,False,False,"Warrior, Warchief, @act03$",Axe,WeaponMelee_Axe,Original,mi_l_neanderthalmelee_Axe_Original,Marauder's Bone Axe,Marauders_Bone_Axe_1,
records\item\equipmentgreaves\mi_l_neanderthalmelee.dbr,tagMIArmor027,False,False,False,"Saber Rider, Warrior, Warchief, Hunter, Trapper; Heroes: Grom, Korat Bearkin, @act03$",Greaves,ArmorProtective_LowerBody,Original,mi_l_neanderthalmelee_Greaves_Original,Marauder's Greaves,Marauders_Greaves_0,
records\item\equipmentarmor\mi_l_ratmanarcher.dbr,tagMIArmor067,False,False,False,"All Archers, Temple of Marduk, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_ratmanarcher_Armor_Original,Quiver of N'Imh,Quiver_of_NImh_0,
records\item\equipmenthelm\mi_l_ratmanchampion.dbr,tagMIArmor045,False,False,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",Helm,ArmorProtective_Head,Original,mi_l_ratmanchampion_Helm_Original,The Rat's Hat,The_Rats_Hat_1,
records\item\equipmentarmband\mi_l_ratmanchampion.dbr,tagMIArmor014,False,False,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",Armbands,ArmorProtective_Forearm,Original,mi_l_ratmanchampion_Armbands_Original,The Rat's Clap,The_Rats_Clap_2,
records\item\equipmentgreaves\mi_l_ratmanchampion.dbr,tagMIArmor028,False,False,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",Greaves,ArmorProtective_LowerBody,Original,mi_l_ratmanchampion_Greaves_Original,The Rat's Track,The_Rats_Track_1,
records\item\equipmentarmor\mi_l_ratmanchampion.dbr,tagMIArmor068,False,False,False,"Vermin King; Heroes: Wheedletongue, Fesil, Sinnet, Temple of Marduk, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_ratmanchampion_Armor_Original,The Rat's Pack,The_Rats_Pack_1,
records\item\equipmentarmor\mi_l_ratmanmelee.dbr,tagMIArmor069,False,False,False,"Minion, Warrior, Temple of Marduk, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_ratmanmelee_Armor_Original,Vagabond's Shirt,Vagabonds_Shirt_0,
records\item\equipmentarmband\mi_l_reptilian.dbr,tagMIArmor015,False,False,False,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$",Armbands,ArmorProtective_Forearm,Original,mi_l_reptilian_Armbands_Original,Overseer's Crest,Overseers_Crest_2,
records\item\equipmentarmor\mi_l_reptilian.dbr,tagMIArmor070,False,False,False,"Overseer, Centurion, Hulking Centurion; Heroes: Barroc, Drottuc, Ssark, @act02$",Armor,ArmorProtective_UpperBody,Original,mi_l_reptilian_Armor_Original,Overseer's Mantle,Overseers_Mantle_2,
records\item\equipmentweapon\bow\mi_l_satyrbrigand.dbr,tagMIWeapon009,False,False,False,"Boar Rider, Pillager, @act01$",Bow,WeaponHunting_Bow,Original,mi_l_satyrbrigand_Bow_Original,Brigand's Bow,Brigands_Bow_0,
records\item\equipmentarmor\mi_l_satyrbrute.dbr,tagMIArmor071,False,False,False,"Guardian; Hero: Warchief Paphos, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_satyrbrute_Armor_Original,Brute's Plate,Brutes_Plate_1,
records\item\equipmentweapon\club\mi_l_satyrguardian.dbr,tagMIWeapon012,False,False,False,"Guardian; Hero: Warchief Paphos, @act01$",Mace,WeaponMelee_Mace,Original,mi_l_satyrguardian_Mace_Original,Stone Hammer,Stone_Hammer_2,
records\item\equipmenthelm\mi_l_satyrmage.dbr,tagMIArmor046,False,False,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",Helm,ArmorProtective_Head,Original,mi_l_satyrmage_Helm_Original,Hood of the Magi,Hood_of_the_Magi_2,
records\item\equipmentweapon\staff\mi_l_satyrmage.dbr,tagMIWeapon015,False,False,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",Staff,WeaponMagical_Staff,Original,mi_l_satyrmage_Staff_Original,Staff of the Magi,Staff_of_the_Magi_0,
records\item\equipmentarmband\mi_l_satyrmage.dbr,tagMIArmor016,False,False,False,"All mages; Heroes: Algos, Drusil, Fernos, Nesis, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_satyrmage_Armbands_Original,Charm of the Magi,Charm_of_the_Magi_1,
records\item\equipmentarmor\mi_l_telkine.dbr,tagMIArmor072,False,False,False,"Megalesios, Minoan Labyrinth, @act01$",Armor,ArmorProtective_UpperBody,Original,mi_l_telkine_Armor_Original,Megalesios' Veil,Megalesios_Veil_0,
records\item\equipmentarmband\mi_l_telkine.dbr,tagMIArmor017,False,False,False,"Megalesios, Minoan Labyrinth, @act01$",Armbands,ArmorProtective_Forearm,Original,mi_l_telkine_Armbands_Original,Megalesios' Seal,Megalesios_Seal_2,
records\item\equipmentarmor\mi_l_tigermanchampion.dbr,tagMIArmor073,False,False,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_tigermanchampion_Armor_Original,Warlord's Coat,Warlords_Coat_1,
records\item\equipmentweapon\axe\mi_l_tigermanchampion.dbr,tagMIWeapon007,False,False,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",Axe,WeaponMelee_Axe,Original,mi_l_tigermanchampion_Axe_Original,Tiger Claw,Tiger_Claw_2,
records\item\equipmenthelm\mi_l_tigermanchampion.dbr,tagMIArmor047,False,False,False,"War Lord, Pack Leader; Hero: Jun Shan, @act03$",Helm,ArmorProtective_Head,Original,mi_l_tigermanchampion_Helm_Original,Warlord's Helm,Warlords_Helm_0,
records\item\equipmentarmor\mi_l_tigermanmage.dbr,tagMIArmor074,False,False,False,"Adept, Acolyte, Sorcerer, Elite Sorcerer; Heroes: Miao Miao, Shao Hsin, @act03$",Armor,ArmorProtective_UpperBody,Original,mi_l_tigermanmage_Armor_Original,Bai Hu's Mantle,Bai_Hus_Mantle_1,
